organisation_name,organisation_id,strategic_alignment,leadership,resourcing,governance,information_governance,records_assessments_plans,orders_results_management,transfers_of_care,medicines_management_optimisation,decision_support,remote_assistive_care,asset_resource_optimisation,business_clinical_intelligence,standards,enabling_infrastructure,readiness,capabilities
2Gether NHS Foundation Trust,RTQ,85,84,60,83,77,78,23,27,19,20,40,40,91,63,72,78,45
Aintree University Hospital NHS Foundation Trust,REM,95,97,80,83,78,55,82,76,68,39,10,60,72,48,94,87,57
Airedale NHS Foundation Trust,RCF,95,88,85,79,83,60,64,91,56,70,40,57,63,65,80,86,63
Alder Hey Childrens NHS Foundation Trust,RBS,100,94,90,96,81,57,92,84,55,60,38,36,73,71,81,92,63
Ashford and St Peters Hospitals NHS Foundation Trust,RTK,100,97,90,92,93,55,57,75,27,52,25,70,80,54,83,94,55
Avon and Wiltshire Mental Health Partnership NHS Trust,RVN,65,53,70,71,65,63,30,12,2,21,30,35,82,0,54,65,31
"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,65,56,30,63,61,32,51,50,17,23,10,40,100,42,89,55,41
"Barnet, Enfield and Haringey Mental Health NHS Trust",RRP,44,53,55,67,68,49,16,21,15,42,0,43,98,18,72,57,34
Barnsley Hospital NHS Foundation Trust,RFF,90,88,75,67,83,26,72,57,0,13,30,50,84,54,66,81,43
Barts Health NHS Trust,R1H,63,72,25,58,71,53,76,62,15,43,10,43,55,43,42,58,44
Basildon and Thurrock University Hospitals NHS Foundation Trust,RDD,90,94,80,83,91,53,93,73,52,59,60,95,89,73,92,88,72
Bedford Hospital NHS Trust,RC1,100,100,90,88,91,50,53,42,71,39,20,75,73,49,60,94,52
Berkshire Healthcare NHS Foundation Trust,RWX,100,91,95,100,90,68,45,54,39,31,88,57,70,58,83,95,57
Birmingham and Solihull Mental Health NHS Foundation Trust,RXT,100,88,100,88,93,57,32,28,72,42,55,88,73,38,94,94,54
Birmingham Community Healthcare NHS Foundation Trust,RYW,65,63,65,71,74,40,25,25,2,3,0,44,81,29,72,68,28
Birmingham Women's and Children's NHS Foundation Trust,RLU,85,84,80,79,71,38,67,76,54,48,42,50,80,54,80,80,57
Black Country Partnership NHS Foundation Trust,TAJ,85,69,65,90,87,12,57,7,10,0,38,10,33,8,81,79,19
Blackpool Teaching Hospitals NHS Foundation Trust,RXL,95,75,85,92,97,64,82,65,22,27,50,57,86,63,77,89,57
Bolton NHS Foundation Trust,RMC,90,97,90,79,92,8,48,77,10,27,5,39,73,20,69,90,34
Bradford District Care NHS Foundation Trust,TAD,85,88,90,83,95,76,53,73,71,65,71,64,80,79,80,88,70
Bradford Teaching Hospitals NHS Foundation Trust,RAE,100,100,100,100,95,67,87,57,95,93,45,70,89,92,93,99,77
Bridgewater Community Healthcare NHS Foundation Trust,RY2,75,59,60,71,82,67,51,59,37,64,30,25,83,54,84,69,52
Brighton and Sussex University Hospitals NHS Trust,RXH,38,28,50,50,65,35,48,68,17,27,45,45,61,54,78,46,44
Buckinghamshire Healthcare NHS Trust,RXQ,31,59,55,46,58,38,52,58,22,9,40,29,73,54,42,50,42
Burton Hospitals NHS Foundation Trust,RJF,65,72,65,63,76,89,92,82,91,84,65,90,70,92,80,68,84
Calderdale and Huddersfield NHS Foundation Trust,RWY,100,100,95,100,76,76,82,81,84,57,40,57,66,75,93,94,69
Cambridge University Hospitals NHS Foundation Trust,RGT,100,100,100,100,97,80,100,95,94,98,85,100,95,83,97,99,92
Cambridgeshire and Peterborough NHS Foundation Trust,RT1,75,79,40,67,59,,,,,,40,54,,,64,64,47
Cambridgeshire Community Services NHS Trust,RYV,75,78,85,75,76,82,69,74,42,67,35,31,61,83,85,78,60
Camden and Islington NHS Foundation Trust,TAF,80,72,70,71,65,73,18,68,7,50,31,55,57,50,72,72,45
Central and North West London NHS Foundation Trust,RV3,85,84,55,75,69,50,19,34,23,25,21,25,45,38,63,74,31
Central London Community Healthcare NHS Trust,RYX,90,78,60,71,75,56,41,54,23,50,60,44,55,29,65,75,46
Central Manchester University Hospitals NHS Foundation Trust,RW3,80,78,75,79,66,51,88,52,22,48,35,57,58,42,70,76,50
Chelsea and Westminster Hospital NHS Foundation Trust,RQM,100,100,95,100,89,58,87,77,68,32,50,60,75,75,86,97,65
Cheshire and Wirral Partnership NHS Foundation Trust,RXA,85,78,55,83,87,74,23,35,22,68,56,43,73,71,56,78,52
Chesterfield Royal Hospital NHS Foundation Trust,RFS,90,88,60,50,78,43,69,63,65,36,35,50,80,54,78,73,55
Christie NHS Foundation Trust,RBV,100,100,100,83,85,67,86,87,76,89,85,90,100,67,81,94,83
City Hospitals Sunderland NHS Foundation Trust,RLN,100,97,100,96,94,75,90,83,88,86,45,65,93,83,88,97,79
Clatterbridge Cancer Centre NHS Foundation Trust,REN,100,91,85,75,72,80,82,59,72,68,65,75,80,63,82,85,72
Colchester Hospital University NHS Foundation Trust,RDE,100,94,95,100,89,49,90,85,10,36,25,85,100,100,93,96,64
Cornwall Partnership NHS Foundation Trust,RJ8,95,72,75,67,89,,,,13,,45,43,64,,78,80,41
Countess Of Chester Hospital NHS Foundation Trust,RJR,70,59,45,67,79,65,86,62,60,53,50,80,70,63,73,64,65
County Durham and Darlington NHS Foundation Trust,RXP,100,91,90,100,95,69,73,52,71,57,80,54,82,54,91,95,66
Coventry and Warwickshire Partnership NHS Trust,RYG,100,91,90,79,87,41,3,7,6,15,33,29,41,33,100,89,23
Croydon Health Services NHS Trust,RJ6,80,75,75,71,96,58,99,53,81,66,25,64,55,92,60,79,66
Cumbria Partnership NHS Foundation Trust,RNN,100,84,85,92,82,49,24,37,5,10,25,11,27,22,64,89,23
Dartford and Gravesham NHS Trust,RN7,100,97,70,96,79,48,89,73,36,39,60,65,89,80,88,88,64
Derby Teaching Hospitals NHS Foundation Trust,RTG,85,84,80,71,80,71,87,92,91,75,45,85,91,83,89,80,80
Derbyshire Community Health Services NHS Foundation Trust,RY8,90,78,65,67,75,65,47,55,48,75,40,56,75,67,80,75,59
Derbyshire Healthcare NHS Foundation Trust,RXM,75,78,55,92,87,65,37,89,28,64,30,54,78,50,72,77,55
Devon Partnership NHS Trust,RWV,85,78,75,75,80,57,38,48,13,40,46,46,97,45,61,79,48
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,RP5,85,66,75,79,88,29,76,38,64,27,25,36,68,67,64,79,48
Dorset County Hospital NHS Foundation Trust,RBD,70,69,70,67,69,50,63,63,76,39,45,75,59,54,83,69,58
Dorset Healthcare University NHS Foundation Trust,RDY,65,56,45,54,74,60,35,68,0,54,65,54,86,63,88,59,54
Dudley and Walsall Mental Health Partnership NHS Trust,RYK,100,94,95,88,80,51,20,43,50,83,20,5,68,33,58,91,41
Dudley Group NHS Foundation Trust,RNA,90,97,100,100,88,33,58,68,16,23,30,45,32,52,79,95,40
East and North Hertfordshire NHS Trust,RWH,85,78,60,75,68,22,43,51,22,30,50,40,57,63,54,73,42
East Cheshire NHS Trust,RJN,75,81,65,75,90,55,31,52,21,32,10,50,48,71,47,77,41
East Kent Hospitals University NHS Foundation Trust,RVV,100,81,90,92,87,66,94,85,21,58,15,70,84,56,92,90,61
East Lancashire Hospitals NHS Trust,RXR,100,94,95,92,87,55,88,90,53,50,45,75,89,71,85,94,68
East London NHS Foundation Trust,RWK,90,94,90,83,79,66,34,37,0,48,79,46,50,50,84,87,46
East Sussex Healthcare NHS Trust,RXC,85,81,60,83,62,47,46,53,16,23,15,36,70,31,60,74,37
Epsom and St Helier University Hospitals NHS Trust,RVR,65,53,55,58,70,38,70,22,40,35,60,55,75,56,65,60,50
Essex Partnership University NHS Foundation Trust,RWN,100,100,90,100,96,55,73,79,42,65,63,68,82,54,84,97,65
Frimley Health NHS Foundation Trust,RDU,80,88,95,88,67,45,85,49,5,32,15,61,70,54,76,84,46
Gateshead Health NHS Foundation Trust,RR7,90,91,90,92,91,47,75,70,56,52,17,61,75,46,71,91,55
George Eliot Hospital NHS Trust,RLT,90,94,100,100,63,62,57,73,13,34,50,65,91,58,93,89,56
Gloucestershire Care Services NHS Trust,R1J,95,66,65,71,76,68,40,55,59,64,50,63,59,44,84,75,56
Gloucestershire Hospitals NHS Foundation Trust,RTE,75,66,60,75,80,29,58,46,12,11,25,35,59,56,72,71,37
