organisation_name,organisation_id,What proportion of each of the following types of records is available digitally in your organisation: Clinical Notes,What proportion of each of the following types of records is available digitally in your organisation: Clinical Observations,What proportion of each of the following types of records is available digitally in your organisation: Care Plans,In what format are each of the following types of records held in your organisation: Clinical Notes,In what format are each of the following types of records held in your organisation: Clinical Observations,In what format are each of the following types of records held in your organisation: Care Plans,HCPs can access digital records (or relevant components of them) from wherever they need to as part of their regular day-to-day routine.,HCPs can update digital records (or relevant components of them) from wherever they need to as part of their regular day-to-day routine.,"When using digital records, HCPs can find what they need quickly and easily; they rarely have to navigate multiple systems/user interfaces and/or sift large volumes of irrelevant data",HCPs use digital systems to record relevant patient information at the point of collection,Information is collected/recorded once; HCPs do not have to copy or re-enter it from one system to another,HCPs rely on digital records for the information they need at the point of care; paper records are used by exception.,Healthcare professionals in your organisation have digital access to the information they need from other local healthcare providers,Healthcare professionals in your organisation have digital access to the information they need from local social care providers.,Other local healthcare providers have digital access to the information they need from your organisation,Local social care providers have digital access to information from your organisation,Healthcare professionals have access to a consolidated view of their patients local health and care records,Healthcare professionals can contribute to a consolidated view of their patients local health and care records,Patients are able to view and download information from their digital care record,What proportion of information shared with health and care providers outside your organisation is provided in a structured or semi-structured digital format?
Aintree University Hospital NHS Foundation Trust,REM,100,100,100,50,50,50,100,100,100,50,75,100,75,0,50,0,0,,0,20
Airedale NHS Trust,RCF,40,20,20,50,0,50,100,100,75,75,75,75,75,25,75,0,100,100,50,100
Alder Hey Childrens NHS Foundation Trust,RBS,40,100,100,0,100,100,75,75,50,75,75,25,25,25,25,25,25,25,0,20
Ashford and St Peters Hospitals NHS Foundation Trust,RTK,20,100,40,0,50,50,25,25,0,50,0,25,25,0,25,0,25,0,0,20
"Barking, Havering and Redbridge Hospitals NHS Trust",RF4,0,0,0,,,,,,,,,,0,0,,,,,0,
Barnsley Hospital NHS Foundation Trust,RFF,0,20,40,,,,25,25,25,25,0,0,0,0,25,0,0,0,0,20
Barts Health NHS Trust,R1H,80,20,0,50,50,,75,75,75,25,50,25,50,0,75,0,75,75,0,40
Basildon and Thurrock University Hospitals NHS Foundation Trust,RDD,100,60,100,50,50,50,100,25,25,75,50,75,0,0,50,25,0,0,0,60
Bedford Hospitals NHS Trust,RC1,60,40,40,50,50,0,50,50,25,50,25,25,25,0,25,0,0,0,0,80
Birmingham Childrens Hospital NHS Foundation Trust,RQ3,20,20,0,100,100,,75,75,75,25,25,0,25,50,0,0,0,0,0,100
Birmingham Womens NHS Foundation Trust,RLU,40,20,40,50,50,50,75,75,75,50,75,25,25,0,25,0,25,25,0,0
Blackpool Teaching Hospitals NHS Foundation Trust,RXL,20,20,20,100,100,100,75,75,75,25,25,25,25,0,25,0,75,50,0,20
Bolton NHS Foundation Trust,RMC,0,0,0,50,0,0,75,75,25,0,0,0,25,25,25,25,0,0,0,0
Bradford Teaching Hospitals NHS Foundation Trust,RAE,20,20,20,50,50,50,25,25,25,50,50,25,75,0,75,0,25,25,0,20
Brighton and Sussex University Hospitals NHS Trust,RXH,20,40,20,0,0,0,75,75,0,25,25,25,25,25,25,25,25,0,0,20
Buckinghamshire Healthcare NHS Trust,RXQ,100,20,20,0,0,0,75,50,25,25,25,50,25,0,25,0,0,0,0,20
Burton Hospitals NHS Foundation Trust,RJF,80,80,0,100,100,0,25,0,75,75,75,50,25,25,0,0,0,75,,40
Calderdale and Huddersfield NHS Foundation Trust,RWY,60,80,60,50,100,100,75,25,0,25,25,25,25,0,25,0,0,0,0,40
Cambridge University Hospitals NHS Foundation Trust,RGT,100,100,100,50,100,50,100,100,100,100,100,100,75,0,75,0,0,50,0,80
Central Manchester University Hospitals NHS Foundation Trust,RW3,40,100,60,50,100,50,75,75,75,50,50,25,50,50,25,25,75,50,25,100
Chelsea and Westminster Hospital NHS Foundation Trust,RQM,80,40,60,50,100,50,75,100,50,75,75,25,25,25,50,75,25,75,25,80
Chesterfield Royal Hospital NHS Foundation Trust,RFS,40,20,40,50,50,50,25,25,50,25,25,0,50,50,0,0,50,0,0,20
City Hospitals Sunderland NHS Foundation Trust,RLN,60,60,100,50,50,100,100,100,75,75,100,50,25,25,100,75,25,0,0,100
Clatterbridge Cancer Centre NHS Foundation Trust,REN,60,60,60,100,100,100,100,75,75,75,100,50,100,0,75,0,75,0,0,80
