organisation_name,organisation_id,For what proportion of patients is a verified NHS number included on all information shared with any other care provider or organisation directly involved in a patients care and treatment?,SNOMED CT is used to support directmanagement of care,dm+d (Dictionary of Medicines and Devices) is used to describe all medicines and devices,The Academy of Medical Royal Colleges Standards for clinical structure and content of patients records are used to create digital patient records and transfer of care summaries.,Patients end-of-life preferences are recorded in accordance with the Palliative Care Co-ordination: Core Content (SCCI1580) national standard,"GS1 is used to identify all patients, products and places, and for radio-frequency identification (RFID) tagging."
Aintree University Hospital NHS Foundation Trust,REM,87,0,0,75,75,50
Airedale NHS Trust,RCF,100,0,0,75,100,50
Alder Hey Childrens NHS Foundation Trust,RBS,100,0,0,0,50,0
Ashford and St Peters Hospitals NHS Foundation Trust,RTK,100,0,0,0,0,0
"Barking, Havering and Redbridge Hospitals NHS Trust",RF4,70,0,0,25,0,25
Barnsley Hospital NHS Foundation Trust,RFF,100,0,0,0,75,0
Barts Health NHS Trust,R1H,52,75,0,25,0,0
Basildon and Thurrock University Hospitals NHS Foundation Trust,RDD,87,50,25,75,100,75
Bedford Hospitals NHS Trust,RC1,70,50,25,25,0,0
Birmingham Childrens Hospital NHS Foundation Trust,RQ3,100,0,25,75,75,50
Birmingham Womens NHS Foundation Trust,RLU,100,0,75,0,0,25
Blackpool Teaching Hospitals NHS Foundation Trust,RXL,100,0,50,0,,100
Bolton NHS Foundation Trust,RMC,87,0,0,0,0,0
Bradford Teaching Hospitals NHS Foundation Trust,RAE,100,0,0,75,75,0
Brighton and Sussex University Hospitals NHS Trust,RXH,100,50,25,0,50,50
Buckinghamshire Healthcare NHS Trust,RXQ,100,0,0,25,75,0
Burton Hospitals NHS Foundation Trust,RJF,87,0,50,75,75,25
Calderdale and Huddersfield NHS Foundation Trust,RWY,100,0,0,0,75,0
Cambridge University Hospitals NHS Foundation Trust,RGT,100,100,100,75,25,75
Central Manchester University Hospitals NHS Foundation Trust,RW3,100,25,25,50,75,0
Chelsea and Westminster Hospital NHS Foundation Trust,RQM,100,25,100,75,100,50
Chesterfield Royal Hospital NHS Foundation Trust,RFS,100,25,50,0,50,0
City Hospitals Sunderland NHS Foundation Trust,RLN,100,25,75,75,100,25
Clatterbridge Cancer Centre NHS Foundation Trust,REN,100,0,0,0,75,0
Colchester Hospital University NHS Foundation Trust,RDE,0,0,25,25,0,0
Countess Of Chester Hospital NHS Foundation Trust,RJR,100,0,75,0,75,0
County Durham and Darlington NHS Foundation Trust,RXP,52,0,50,50,100,0
Croydon Health Services NHS Trust,RJ6,87,100,75,75,100,0
Dartford and Gravesham NHS Trust,RN7,100,25,0,100,0,75
Derby Hospitals NHS Foundation Trust,RTG,100,25,100,75,50,25
Doncaster and Bassetlaw Hospitals NHS Foundation Trust,RP5,100,0,0,0,75,0
Dorset County Hospitals NHS Foundation Trust,RBD,100,0,50,0,50,50
East and North Hertfordshire NHS Trust,RWH,17,25,25,50,75,25
East Cheshire NHS Trust,RJN,100,75,0,0,75,25
East Kent Hospitals NHS Trust,RVV,100,0,0,0,0,0
East Lancashire Hospitals NHS Trust,RXR,70,0,0,75,100,50
East Sussex Healthcare NHS Trust,RXC,87,0,0,0,25,25
Epsom and St Helier University Hospitals NHS Trust,RVR,87,75,75,0,75,0
Frimley Health NHS Foundation Trust,RDU,100,100,75,75,0,0
Gateshead Health NHS Foundation Trust,RR7,100,50,75,75,25,0
George Eliot Hospital NHS Trust,RLT,87,25,0,75,0,
Gloucestershire Hospitals NHS Foundation Trust,RTE,87,0,0,0,50,0
Great Ormond Street Hospital For Children NHS Foundation Trust,RP4,35,0,0,0,0,0
Great Western Hospitals NHS Foundation Trust,RN3,87,0,0,75,0,25
Guys and St Thomas NHS Foundation Trust,RJ1,100,0,50,75,75,50
Hampshire Hospitals NHS Foundation Trust,RN5,100,0,0,25,50,
Harrogate and District NHS Foundation Trust,RCD,100,0,75,75,0,0
Heart Of England NHS Foundation Trust,RR1,100,0,50,25,75,25
Hinchingbrooke Health Care NHS Trust,RQQ,87,0,50,75,25,0
Homerton University Hospital NHS Foundation Trust,RQX,100,100,75,75,0,75
Hull and East Yorkshire Hospitals NHS Trust,RWA,100,0,0,75,100,0
Imperial College Healthcare NHS Trust,RYJ,87,75,75,75,75,25
Ipswich Hospital NHS Trust,RGQ,100,25,25,75,75,50
Isle Of Wight NHS Trust,R1F,70,0,0,0,0,25
James Paget University Hospitals NHS Foundation Trust,RGP,100,0,0,0,0,0
Kettering General Hospital NHS Foundation Trust,RNQ,87,25,0,0,0,0
Kings College Hospital NHS Foundation Trust,RJZ,87,0,0,0,25,25
Kingston Hospital NHS Trust,RAX,87,100,100,75,,
Lancashire Teaching Hospitals NHS Foundation Trust,RXN,100,25,0,25,0,0
Leeds Teaching Hospitals NHS Trust,RR8,100,0,25,100,75,0
Lewisham and Greenwich NHS Trust,RJ2,100,75,,50,0,0
Liverpool Heart and Chest Hospital NHS Trust,RBQ,70,100,50,50,75,0
Liverpool Womens Hospital NHS Trust,REP,100,50,75,100,100,25
London North West Healthcare NHS Trust,R1K,100,25,50,50,50,50
Luton and Dunstable University Hospital NHS Foundation Trust,RC9,100,0,0,50,25,0
Maidstone and Tunbridge Wells NHS Trust,RWF,87,0,0,75,25,0
Medway NHS Foundation Trust,RPA,87,0,0,0,0,0
Mid Cheshire Hospitals NHS Foundation Trust,RBT,100,0,75,50,25,0
Mid Essex Hospital Services NHS Trust,RQ8,100,0,75,50,75,0
Mid Yorkshire Hospitals NHS Trust,RXF,100,,25,50,75,0
Milton Keynes General Hospital NHS Trust,RD8,100,25,0,0,50,0
Moorfields Eye Hospital NHS Trust,RP6,100,100,0,75,,0
