organisation_name,organisation_id,Healthcare professionals have wi-fi access to clinical applications across your estate,Public wi-fi is available in public areas across your estate,Healthcare professionals are equipped with mobile devices to access clinical applications and information at the point of care,Healthcare professionals have single sign-on access & authentication to clinical applications; they do not have to remember and use multiple usernames & passwords,Digital systems meet users expectations regarding the time it takes to log-in to clinical applications and update/retrieve information,Software (including operating systems) used on NHS-owned IT infrastructure is approved and recorded on a software asset & licence register that confirms it is appropriately licensed for such use,Digital services are supported by an IT support Service Desk that prioritises incidents using a consistent approach agreed with nominated service users/owners,The IT support Service Desk follows an ITIL-aligned (or equivalent) Incident Management process that lets users track issues through to resolution,"Business-critical digital services are supported by documented disaster recovery processes, with clear roles & responsibilities assigned",Disaster recovery processes have been tested and audited,Business-critical digital services are supported by IT infrastructure with multi-site redundancy; normal operations are maintained in the event of an outage at any particular location
Aintree University Hospital NHS Foundation Trust,REM,100,100,100,75,100,100,100,100,100,100,100
Airedale NHS Trust,RCF,75,75,75,75,50,100,75,100,75,75,75
Alder Hey Childrens NHS Foundation Trust,RBS,100,100,75,50,75,75,75,25,100,100,100
Ashford and St Peters Hospitals NHS Foundation Trust,RTK,75,75,75,50,50,100,100,75,75,50,75
"Barking, Havering and Redbridge Hospitals NHS Trust",RF4,100,0,25,0,75,75,25,25,25,0,100
Barnsley Hospital NHS Foundation Trust,RFF,100,0,0,100,50,100,100,100,75,100,50
Barts Health NHS Trust,R1H,25,25,0,0,50,25,0,50,50,0,0
Basildon and Thurrock University Hospitals NHS Foundation Trust,RDD,75,75,50,25,50,100,100,100,100,100,75
Bedford Hospitals NHS Trust,RC1,75,75,25,0,0,75,75,75,25,75,0
Birmingham Childrens Hospital NHS Foundation Trust,RQ3,100,100,75,75,75,100,75,75,75,100,100
Birmingham Womens NHS Foundation Trust,RLU,100,100,75,75,50,100,100,100,100,75,100
Blackpool Teaching Hospitals NHS Foundation Trust,RXL,75,75,25,0,75,100,100,100,75,75,75
Bolton NHS Foundation Trust,RMC,75,0,0,0,0,75,25,0,75,75,100
Bradford Teaching Hospitals NHS Foundation Trust,RAE,100,100,75,50,50,75,75,100,75,75,75
Brighton and Sussex University Hospitals NHS Trust,RXH,100,100,75,50,50,100,100,100,75,50,75
Buckinghamshire Healthcare NHS Trust,RXQ,75,75,25,25,25,100,75,75,75,75,50
Burton Hospitals NHS Foundation Trust,RJF,0,0,25,0,0,75,75,75,75,75,75
Calderdale and Huddersfield NHS Foundation Trust,RWY,75,75,75,0,25,100,100,100,75,75,100
Cambridge University Hospitals NHS Foundation Trust,RGT,100,25,100,75,75,50,75,100,100,100,100
Central Manchester University Hospitals NHS Foundation Trust,RW3,100,50,75,75,75,100,100,75,75,75,75
Chelsea and Westminster Hospital NHS Foundation Trust,RQM,75,75,25,75,100,100,100,100,100,75,100
Chesterfield Royal Hospital NHS Foundation Trust,RFS,25,0,0,75,0,100,100,75,75,50,75
City Hospitals Sunderland NHS Foundation Trust,RLN,100,25,75,100,100,100,75,75,100,100,100
Clatterbridge Cancer Centre NHS Foundation Trust,REN,100,100,75,75,50,100,75,50,25,50,50
Colchester Hospital University NHS Foundation Trust,RDE,100,0,25,75,25,100,75,75,100,75,75
Countess Of Chester Hospital NHS Foundation Trust,RJR,100,100,50,25,75,100,75,75,75,75,75
County Durham and Darlington NHS Foundation Trust,RXP,75,25,75,75,50,100,100,100,100,75,75
Croydon Health Services NHS Trust,RJ6,75,100,75,75,25,100,100,75,75,100,75
Dartford and Gravesham NHS Trust,RN7,100,25,75,75,50,100,100,100,100,100,50
Derby Hospitals NHS Foundation Trust,RTG,100,100,75,50,25,100,100,100,100,75,75
Doncaster and Bassetlaw Hospitals NHS Foundation Trust,RP5,75,0,75,100,75,75,100,75,100,50,100
Dorset County Hospitals NHS Foundation Trust,RBD,75,75,75,75,50,75,100,50,75,75,50
East and North Hertfordshire NHS Trust,RWH,75,50,75,75,25,50,50,75,75,25,0
East Cheshire NHS Trust,RJN,25,0,50,25,25,0,100,100,50,0,25
East Kent Hospitals NHS Trust,RVV,100,100,100,50,50,100,100,100,75,50,100
East Lancashire Hospitals NHS Trust,RXR,100,75,25,25,0,75,75,100,75,50,75
East Sussex Healthcare NHS Trust,RXC,100,50,75,0,25,75,75,100,75,75,75
Epsom and St Helier University Hospitals NHS Trust,RVR,100,75,50,25,25,75,100,100,75,50,75
Frimley Health NHS Foundation Trust,RDU,75,100,50,75,75,100,100,100,100,75,75
Gateshead Health NHS Foundation Trust,RR7,100,100,75,75,25,100,100,100,25,25,0
George Eliot Hospital NHS Trust,RLT,75,100,75,75,50,100,100,100,25,25,0
Gloucestershire Hospitals NHS Foundation Trust,RTE,100,100,50,100,0,25,75,75,75,50,75
Great Ormond Street Hospital For Children NHS Foundation Trust,RP4,75,75,75,25,25,25,100,75,25,25,50
Great Western Hospitals NHS Foundation Trust,RN3,50,50,25,50,25,75,100,50,100,100,50
Guys and St Thomas NHS Foundation Trust,RJ1,100,100,100,25,75,100,100,100,100,75,75
Hampshire Hospitals NHS Foundation Trust,RN5,100,100,100,100,75,50,100,100,75,50,25
Harrogate and District NHS Foundation Trust,RCD,50,0,50,0,25,75,50,25,75,75,75
Heart Of England NHS Foundation Trust,RR1,75,25,75,25,50,75,50,100,25,25,25
Hinchingbrooke Health Care NHS Trust,RQQ,100,100,75,0,75,75,100,75,75,0,25
Homerton University Hospital NHS Foundation Trust,RQX,50,50,25,0,50,75,100,100,100,100,75
Hull and East Yorkshire Hospitals NHS Trust,RWA,75,0,25,25,50,75,100,75,75,50,75
Imperial College Healthcare NHS Trust,RYJ,100,100,75,50,25,100,100,100,100,50,75
Ipswich Hospital NHS Trust,RGQ,100,75,100,0,25,100,100,75,100,100,100
Isle Of Wight NHS Trust,R1F,75,0,50,25,25,100,100,50,50,25,25
James Paget University Hospitals NHS Foundation Trust,RGP,25,0,0,0,25,50,75,0,75,75,75
Kettering General Hospital NHS Foundation Trust,RNQ,75,75,25,0,50,75,50,25,25,25,50
Kings College Hospital NHS Foundation Trust,RJZ,100,75,75,50,50,75,100,25,100,25,25
Kingston Hospital NHS Trust,RAX,100,100,75,25,25,75,75,75,75,25,75
Lancashire Teaching Hospitals NHS Foundation Trust,RXN,100,100,100,50,75,75,100,100,50,0,25
Leeds Teaching Hospitals NHS Trust,RR8,50,75,25,0,0,100,25,50,50,25,25
Lewisham and Greenwich NHS Trust,RJ2,0,75,25,25,25,75,100,75,75,75,75
Liverpool Heart and Chest Hospital NHS Trust,RBQ,100,100,75,0,50,100,75,100,100,100,100
Liverpool Womens Hospital NHS Trust,REP,100,100,100,100,100,100,100,100,100,100,100
London North West Healthcare NHS Trust,R1K,50,0,50,0,25,75,75,25,75,75,75
Luton and Dunstable University Hospital NHS Foundation Trust,RC9,75,75,75,75,75,100,100,100,100,100,100
Maidstone and Tunbridge Wells NHS Trust,RWF,75,100,100,25,25,75,75,75,75,75,75
Medway NHS Foundation Trust,RPA,75,0,25,0,0,100,75,75,100,75,100
Mid Cheshire Hospitals NHS Foundation Trust,RBT,100,0,75,100,75,100,100,100,75,75,25
Mid Essex Hospital Services NHS Trust,RQ8,100,0,50,25,50,100,75,75,75,75,50
Mid Yorkshire Hospitals NHS Trust,RXF,75,75,50,75,50,75,100,75,25,25,25
Milton Keynes General Hospital NHS Trust,RD8,100,100,25,0,25,75,75,0,100,100,100
Moorfields Eye Hospital NHS Trust,RP6,75,75,25,75,50,75,100,100,75,25,25
Norfolk and Norwich University Hospitals NHS Foundation Trust,RM1,25,100,25,25,0,100,100,100,50,75,75
North Bristol NHS Trust,RVJ,75,75,50,75,25,25,100,50,50,50,25
North Cumbria University Hospitals NHS Trust,RNL,75,0,25,0,25,75,100,100,75,75,25
North Middlesex University Hospital NHS Trust,RAP,100,100,25,25,25,75,75,25,75,100,25
North Tees and Hartlepool NHS Foundation Trust,RVW,75,100,75,50,75,100,100,100,100,100,100
Northampton General Hospital NHS Trust,RNS,100,25,100,75,75,100,100,100,75,75,75
Northern Devon Healthcare NHS Trust,RBZ,75,50,75,50,50,100,75,75,50,50,75
Northern Lincolnshire and Goole NHS Foundation Trust,RJL,100,75,75,50,50,100,100,75,100,75,100
Northumbria Healthcare NHS Foundation Trust,RTF,75,0,25,25,25,100,100,100,100,100,0
Nottingham University Hospitals NHS Trust,RX1,100,100,75,25,50,100,100,100,100,75,75
Oxford University Hospitals NHS Trust,RTH,100,100,75,75,75,75,100,100,75,75,75
Papworth Hospital NHS Foundation Trust,RGM,75,75,75,0,50,75,100,75,75,50,25
