organisation_name,organisation_id,"There is a Board-led digital programme(s), supported by effective operational IT delivery.","Project and programme boards follow standard project management methodologies, ensuring effective allocation of roles and responsibility.",Digital projects are underpinned by valid business cases and fully-engaged business owners.,Your organisation does routinely evaluate the benefits of digital projects using a consistent approach,Your organisation does routinely adopt principles outlined in best practice guidelines relating to digital services
Aintree University Hospital NHS Foundation Trust,REM,75,75,75,75,74
Airedale NHS Trust,RCF,100,75,100,100,71
Alder Hey Childrens NHS Foundation Trust,RBS,100,100,75,50,83
Ashford and St Peters Hospitals NHS Foundation Trust,RTK,100,100,100,75,85
"Barking, Havering and Redbridge Hospitals NHS Trust",RF4,75,50,50,25,74
Barnsley Hospital NHS Foundation Trust,RFF,75,25,50,50,73
Barts Health NHS Trust,R1H,25,75,75,0,77
Basildon and Thurrock University Hospitals NHS Foundation Trust,RDD,75,100,100,50,71
Bedford Hospitals NHS Trust,RC1,75,100,75,50,69
Birmingham Childrens Hospital NHS Foundation Trust,RQ3,100,100,100,75,84
Birmingham Womens NHS Foundation Trust,RLU,75,75,75,25,84
Blackpool Teaching Hospitals NHS Foundation Trust,RXL,100,100,75,50,82
Bolton NHS Foundation Trust,RMC,100,100,100,75,74
Bradford Teaching Hospitals NHS Foundation Trust,RAE,100,75,100,75,82
Brighton and Sussex University Hospitals NHS Trust,RXH,75,75,50,25,66
Buckinghamshire Healthcare NHS Trust,RXQ,100,75,75,75,80
Burton Hospitals NHS Foundation Trust,RJF,75,75,75,75,80
Calderdale and Huddersfield NHS Foundation Trust,RWY,100,100,75,75,78
Cambridge University Hospitals NHS Foundation Trust,RGT,75,75,75,75,84
Central Manchester University Hospitals NHS Foundation Trust,RW3,100,100,100,100,75
Chelsea and Westminster Hospital NHS Foundation Trust,RQM,100,75,100,50,85
Chesterfield Royal Hospital NHS Foundation Trust,RFS,25,75,50,50,66
City Hospitals Sunderland NHS Foundation Trust,RLN,100,100,75,75,86
Clatterbridge Cancer Centre NHS Foundation Trust,REN,25,75,75,75,80
Colchester Hospital University NHS Foundation Trust,RDE,50,100,100,25,84
Countess Of Chester Hospital NHS Foundation Trust,RJR,75,75,50,50,72
County Durham and Darlington NHS Foundation Trust,RXP,100,100,100,100,90
Croydon Health Services NHS Trust,RJ6,100,100,100,25,73
Dartford and Gravesham NHS Trust,RN7,100,100,100,75,75
Derby Hospitals NHS Foundation Trust,RTG,75,75,75,50,81
Doncaster and Bassetlaw Hospitals NHS Foundation Trust,RP5,100,75,75,25,71
Dorset County Hospitals NHS Foundation Trust,RBD,100,75,75,25,89
East and North Hertfordshire NHS Trust,RWH,50,100,100,75,85
East Cheshire NHS Trust,RJN,50,50,25,25,67
East Kent Hospitals NHS Trust,RVV,100,100,75,75,73
East Lancashire Hospitals NHS Trust,RXR,75,100,75,75,73
East Sussex Healthcare NHS Trust,RXC,75,100,100,75,71
Epsom and St Helier University Hospitals NHS Trust,RVR,75,75,50,50,72
Frimley Health NHS Foundation Trust,RDU,100,100,100,75,73
Gateshead Health NHS Foundation Trust,RR7,100,100,100,75,93
George Eliot Hospital NHS Trust,RLT,100,75,75,75,68
Gloucestershire Hospitals NHS Foundation Trust,RTE,100,100,100,75,77
Great Ormond Street Hospital For Children NHS Foundation Trust,RP4,75,50,50,50,77
Great Western Hospitals NHS Foundation Trust,RN3,100,100,100,75,77
Guys and St Thomas NHS Foundation Trust,RJ1,100,100,100,75,73
Hampshire Hospitals NHS Foundation Trust,RN5,100,100,75,50,76
Harrogate and District NHS Foundation Trust,RCD,100,100,100,100,84
Heart Of England NHS Foundation Trust,RR1,50,75,75,50,68
Hinchingbrooke Health Care NHS Trust,RQQ,0,75,75,25,79
Homerton University Hospital NHS Foundation Trust,RQX,75,75,75,75,77
Hull and East Yorkshire Hospitals NHS Trust,RWA,100,100,100,100,71
Imperial College Healthcare NHS Trust,RYJ,100,100,100,100,66
Ipswich Hospital NHS Trust,RGQ,100,100,100,100,84
Isle Of Wight NHS Trust,R1F,25,50,50,75,86
James Paget University Hospitals NHS Foundation Trust,RGP,50,75,75,75,70
Kettering General Hospital NHS Foundation Trust,RNQ,50,75,75,25,71
Kings College Hospital NHS Foundation Trust,RJZ,50,75,75,75,73
Kingston Hospital NHS Trust,RAX,75,100,75,75,81
Lancashire Teaching Hospitals NHS Foundation Trust,RXN,100,100,75,75,82
Leeds Teaching Hospitals NHS Trust,RR8,100,100,75,75,81
Lewisham and Greenwich NHS Trust,RJ2,75,100,75,50,75
Liverpool Heart and Chest Hospital NHS Trust,RBQ,75,100,75,25,74
Liverpool Womens Hospital NHS Trust,REP,100,100,100,100,66
London North West Healthcare NHS Trust,R1K,75,100,75,75,66
Luton and Dunstable University Hospital NHS Foundation Trust,RC9,100,100,100,100,74
Maidstone and Tunbridge Wells NHS Trust,RWF,75,100,100,50,74
Medway NHS Foundation Trust,RPA,100,100,100,100,83
Mid Cheshire Hospitals NHS Foundation Trust,RBT,100,100,75,100,80
Mid Essex Hospital Services NHS Trust,RQ8,100,75,100,50,68
Mid Yorkshire Hospitals NHS Trust,RXF,0,50,50,50,87
Milton Keynes General Hospital NHS Trust,RD8,100,100,100,75,84
Moorfields Eye Hospital NHS Trust,RP6,50,100,100,25,68
Norfolk and Norwich University Hospitals NHS Foundation Trust,RM1,25,75,75,25,74
North Bristol NHS Trust,RVJ,100,100,75,75,67
North Cumbria University Hospitals NHS Trust,RNL,75,75,75,75,85
North Middlesex University Hospital NHS Trust,RAP,,,,,68
North Tees and Hartlepool NHS Foundation Trust,RVW,100,100,100,75,86
Northampton General Hospital NHS Trust,RNS,75,75,75,50,82
Northern Devon Healthcare NHS Trust,RBZ,75,75,75,75,68
Northern Lincolnshire and Goole NHS Foundation Trust,RJL,100,100,100,75,66
Northumbria Healthcare NHS Foundation Trust,RTF,100,75,100,100,94
Nottingham University Hospitals NHS Trust,RX1,100,100,100,75,81
Oxford University Hospitals NHS Trust,RTH,75,75,75,50,91
