organisation_name,organisation_id,"There is active identification, monitoring and review of cyber security risks.",The Board has a full and accurate picture that the organisations key information is being properly managed and is safe from cyber threats.,You are confident the entire workforce understands and follows your organisations information governance policies & processes.,"You receive assurance on a regular basis that your suppliers and digital assets are secure, including penetration testing.","There are robust due diligence mechanisms in place to ensure all 3rd parties comply with the law and central guidance and provide sufficient guarantees that personal data is handled safely and protected from unauthorised access, accidental loss, damage and destruction.",All information governance requirements are articulated in third party contracts and monitored on an ongoing basis.
Aintree University Hospital NHS Foundation Trust,REM,75,100,75,75,75,75
Airedale NHS Trust,RCF,100,75,75,100,100,100
Alder Hey Childrens NHS Foundation Trust,RBS,50,50,50,75,75,75
Ashford and St Peters Hospitals NHS Foundation Trust,RTK,75,50,75,50,100,100
"Barking, Havering and Redbridge Hospitals NHS Trust",RF4,75,75,25,75,75,75
Barnsley Hospital NHS Foundation Trust,RFF,100,75,75,100,75,100
Barts Health NHS Trust,R1H,50,75,75,75,50,50
Basildon and Thurrock University Hospitals NHS Foundation Trust,RDD,75,75,75,50,75,75
Bedford Hospitals NHS Trust,RC1,100,75,75,100,100,75
Birmingham Childrens Hospital NHS Foundation Trust,RQ3,100,100,50,100,75,75
Birmingham Womens NHS Foundation Trust,RLU,75,75,50,75,75,75
Blackpool Teaching Hospitals NHS Foundation Trust,RXL,100,100,75,100,100,100
Bolton NHS Foundation Trust,RMC,100,100,75,100,100,100
Bradford Teaching Hospitals NHS Foundation Trust,RAE,50,25,75,100,75,100
Brighton and Sussex University Hospitals NHS Trust,RXH,75,75,50,50,75,50
Buckinghamshire Healthcare NHS Trust,RXQ,100,75,75,100,100,100
Burton Hospitals NHS Foundation Trust,RJF,75,75,75,50,75,75
Calderdale and Huddersfield NHS Foundation Trust,RWY,75,50,75,50,50,75
Cambridge University Hospitals NHS Foundation Trust,RGT,75,100,75,100,100,75
Central Manchester University Hospitals NHS Foundation Trust,RW3,100,100,100,75,100,100
Chelsea and Westminster Hospital NHS Foundation Trust,RQM,100,100,75,75,100,100
Chesterfield Royal Hospital NHS Foundation Trust,RFS,75,75,25,100,75,75
City Hospitals Sunderland NHS Foundation Trust,RLN,75,75,100,100,100,100
Clatterbridge Cancer Centre NHS Foundation Trust,REN,75,50,75,25,75,75
Colchester Hospital University NHS Foundation Trust,RDE,100,75,75,100,75,100
Countess Of Chester Hospital NHS Foundation Trust,RJR,75,75,75,75,50,50
County Durham and Darlington NHS Foundation Trust,RXP,100,100,75,100,100,100
Croydon Health Services NHS Trust,RJ6,75,75,75,75,75,75
Dartford and Gravesham NHS Trust,RN7,100,75,75,75,75,75
Derby Hospitals NHS Foundation Trust,RTG,75,75,75,50,100,100
Doncaster and Bassetlaw Hospitals NHS Foundation Trust,RP5,100,100,75,25,100,100
Dorset County Hospitals NHS Foundation Trust,RBD,75,75,75,50,50,50
East and North Hertfordshire NHS Trust,RWH,100,75,50,75,50,50
East Cheshire NHS Trust,RJN,75,75,75,75,100,50
East Kent Hospitals NHS Trust,RVV,75,50,25,75,25,75
East Lancashire Hospitals NHS Trust,RXR,100,75,50,75,50,75
East Sussex Healthcare NHS Trust,RXC,75,25,50,75,50,50
Epsom and St Helier University Hospitals NHS Trust,RVR,50,50,75,50,50,75
Frimley Health NHS Foundation Trust,RDU,50,50,75,50,50,75
Gateshead Health NHS Foundation Trust,RR7,75,50,75,75,75,75
George Eliot Hospital NHS Trust,RLT,75,50,25,75,75,75
