organisation_name,organisation_id,Your Board owns the organisations digital strategy and expects to receive regular updates about progress.,The team leading the organisations digital transformation includes a board-level sponsor,"You have strong clinical leadership through a nominated Chief Clinical Information Officer, Chief Nursing Information Officer or equivalent",Your CCIO or equivalent has adequate protected time as part of his/her job plan to undertake the requirements of the role within your organisation.,"Your organisation monitors emerging digital technologies, using regular horizon scanning to keep the digital strategy up to date"
Aintree University Hospital NHS Foundation Trust,REM,100,100,100,100,100
Airedale NHS Trust,RCF,100,100,100,75,100
Alder Hey Childrens NHS Foundation Trust,RBS,100,100,100,100,75
Ashford and St Peters Hospitals NHS Foundation Trust,RTK,100,100,75,100,100
"Barking, Havering and Redbridge Hospitals NHS Trust",RF4,100,100,50,50,25
Barnsley Hospital NHS Foundation Trust,RFF,100,100,100,100,75
Barts Health NHS Trust,R1H,75,100,75,100,50
Basildon and Thurrock University Hospitals NHS Foundation Trust,RDD,50,100,75,50,50
Bedford Hospitals NHS Trust,RC1,75,100,100,50,75
Birmingham Childrens Hospital NHS Foundation Trust,RQ3,100,100,100,100,75
Birmingham Womens NHS Foundation Trust,RLU,100,100,25,25,75
Blackpool Teaching Hospitals NHS Foundation Trust,RXL,100,100,50,0,100
Bolton NHS Foundation Trust,RMC,100,100,100,100,100
Bradford Teaching Hospitals NHS Foundation Trust,RAE,100,100,100,100,100
Brighton and Sussex University Hospitals NHS Trust,RXH,75,100,75,75,75
Buckinghamshire Healthcare NHS Trust,RXQ,100,100,100,100,100
Burton Hospitals NHS Foundation Trust,RJF,75,100,100,100,75
Calderdale and Huddersfield NHS Foundation Trust,RWY,100,100,100,100,75
Cambridge University Hospitals NHS Foundation Trust,RGT,100,100,100,100,100
Central Manchester University Hospitals NHS Foundation Trust,RW3,100,100,100,100,100
Chelsea and Westminster Hospital NHS Foundation Trust,RQM,75,100,100,100,75
Chesterfield Royal Hospital NHS Foundation Trust,RFS,50,100,25,0,75
City Hospitals Sunderland NHS Foundation Trust,RLN,75,100,100,75,75
Clatterbridge Cancer Centre NHS Foundation Trust,REN,100,100,100,75,75
Colchester Hospital University NHS Foundation Trust,RDE,25,75,0,0,75
Countess Of Chester Hospital NHS Foundation Trust,RJR,25,75,100,25,50
County Durham and Darlington NHS Foundation Trust,RXP,75,100,75,75,100
Croydon Health Services NHS Trust,RJ6,100,100,100,75,75
Dartford and Gravesham NHS Trust,RN7,100,100,100,75,100
Derby Hospitals NHS Foundation Trust,RTG,100,100,75,25,100
Doncaster and Bassetlaw Hospitals NHS Foundation Trust,RP5,75,100,25,25,75
Dorset County Hospitals NHS Foundation Trust,RBD,100,75,100,25,75
East and North Hertfordshire NHS Trust,RWH,50,100,100,75,75
East Cheshire NHS Trust,RJN,50,100,100,50,75
East Kent Hospitals NHS Trust,RVV,50,100,100,100,50
East Lancashire Hospitals NHS Trust,RXR,100,100,100,25,100
East Sussex Healthcare NHS Trust,RXC,50,100,100,50,75
Epsom and St Helier University Hospitals NHS Trust,RVR,75,75,25,50,0
Frimley Health NHS Foundation Trust,RDU,100,100,75,75,75
Gateshead Health NHS Foundation Trust,RR7,100,100,100,100,75
George Eliot Hospital NHS Trust,RLT,25,100,100,0,75
Gloucestershire Hospitals NHS Foundation Trust,RTE,75,75,75,100,75
Great Ormond Street Hospital For Children NHS Foundation Trust,RP4,100,100,50,50,50
Great Western Hospitals NHS Foundation Trust,RN3,75,100,100,100,100
Guys and St Thomas NHS Foundation Trust,RJ1,75,100,100,100,100
Hampshire Hospitals NHS Foundation Trust,RN5,50,100,100,100,75
Harrogate and District NHS Foundation Trust,RCD,100,100,25,0,100
Heart Of England NHS Foundation Trust,RR1,50,50,100,25,50
Hinchingbrooke Health Care NHS Trust,RQQ,25,25,75,50,25
Homerton University Hospital NHS Foundation Trust,RQX,75,75,100,75,100
Hull and East Yorkshire Hospitals NHS Trust,RWA,75,100,100,75,75
Imperial College Healthcare NHS Trust,RYJ,100,100,100,100,100
Ipswich Hospital NHS Trust,RGQ,100,100,100,100,100
Isle Of Wight NHS Trust,R1F,25,100,25,0,25
James Paget University Hospitals NHS Foundation Trust,RGP,25,50,25,0,25
Kettering General Hospital NHS Foundation Trust,RNQ,75,100,75,50,25
Kings College Hospital NHS Foundation Trust,RJZ,50,100,100,100,75
Kingston Hospital NHS Trust,RAX,75,75,75,75,100
Lancashire Teaching Hospitals NHS Foundation Trust,RXN,100,100,100,100,100
Leeds Teaching Hospitals NHS Trust,RR8,100,100,100,75,75
Lewisham and Greenwich NHS Trust,RJ2,75,75,75,50,75
Liverpool Heart and Chest Hospital NHS Trust,RBQ,75,75,100,100,50
Liverpool Womens Hospital NHS Trust,REP,100,100,100,100,100
London North West Healthcare NHS Trust,R1K,100,100,50,50,75
Luton and Dunstable University Hospital NHS Foundation Trust,RC9,100,100,100,100,100
Maidstone and Tunbridge Wells NHS Trust,RWF,100,100,100,100,75
Medway NHS Foundation Trust,RPA,75,100,100,75,75
Mid Cheshire Hospitals NHS Foundation Trust,RBT,100,100,100,100,75
Mid Essex Hospital Services NHS Trust,RQ8,100,100,75,0,75
Mid Yorkshire Hospitals NHS Trust,RXF,75,0,75,25,50
Milton Keynes General Hospital NHS Trust,RD8,75,100,100,100,75
Moorfields Eye Hospital NHS Trust,RP6,75,100,100,100,50
Norfolk and Norwich University Hospitals NHS Foundation Trust,RM1,75,75,25,,75
North Bristol NHS Trust,RVJ,75,75,75,75,50
North Cumbria University Hospitals NHS Trust,RNL,75,75,75,75,25
North Middlesex University Hospital NHS Trust,RAP,50,100,75,75,25
North Tees and Hartlepool NHS Foundation Trust,RVW,100,100,100,100,100
Northampton General Hospital NHS Trust,RNS,75,75,25,,75
Northern Devon Healthcare NHS Trust,RBZ,75,100,75,75,75
Northern Lincolnshire and Goole NHS Foundation Trust,RJL,100,100,75,75,75
Northumbria Healthcare NHS Foundation Trust,RTF,100,100,100,75,50
Nottingham University Hospitals NHS Trust,RX1,100,100,100,100,100
Oxford University Hospitals NHS Trust,RTH,100,100,100,100,75
Papworth Hospital NHS Foundation Trust,RGM,100,100,100,75,50
Pennine Acute Hospitals NHS Trust,RW6,100,100,75,100,100
Peterborough and Stamford Hospitals NHS Foundation Trust,RGN,100,100,75,100,100
Plymouth Hospitals NHS Trust,RK9,100,100,100,100,100
Poole Hospitals NHS Trust,RD3,100,100,100,100,75
Portsmouth Hospitals NHS Trust,RHU,75,100,25,25,75
Royal Berkshire NHS Foundation Trust,RHW,75,100,75,75,75
Royal Brompton and Harefield NHS Foundation Trust,RT3,100,100,100,75,100
Royal Cornwall Hospitals NHS Trust,REF,75,100,50,25,100
Royal Devon and Exeter NHS Foundation Trust,RH8,100,100,100,100,100
Royal Free London NHS Foundation Trust,RAL,100,100,100,100,100
Royal Liverpool and Broadgreen University Hospitals NHS Trust,RQ6,100,100,100,100,100
Royal National Orthopaedic Hospital NHS Trust,RAN,75,100,100,0,75
Royal Surrey County Hospital NHS Trust,RA2,50,50,50,50,0
Royal United Hospital Bath NHS Trust,RD1,100,100,100,100,100
Salford Royal Hospitals NHS Trust,RM3,100,100,100,100,100
Salisbury NHS Foundation Trust,RNZ,75,100,100,75,50
Sandwell and West Birmingham Hospitals NHS Trust,RXK,50,100,100,50,25
Sheffield Childrens NHS Trust,RCU,75,100,50,25,100
Sheffield Teaching Hospitals NHS Foundation Trust,RHQ,100,100,100,75,75
Sherwood Forest Hospitals NHS Foundation Trust,RK5,0,100,25,0,75
Shrewsbury and Telford Hospital NHS Trust,RXW,50,100,75,75,75
South Tees Hospitals NHS Trust,RTR,75,100,25,25,75
South Tyneside Foundation NHS Trust,RE9,100,100,0,0,100
South Warwickshire NHS Foundation Trust,RJC,100,100,100,100,100
Southend University Hospital NHS Foundation Trust,RAJ,75,100,100,75,100
Southport and Ormskirk Hospital NHS Trust,RVY,75,75,75,50,75
St Georges University Hospitals NHS Foundation Trust,RJ7,100,100,100,75,75
St Helens and Knowsley Hospitals NHS Trust,RBN,100,100,100,100,100
Stockport NHS Foundation Trust,RWJ,100,100,100,75,75
Surrey and Sussex Healthcare NHS Trust,RTP,100,100,100,100,75
Tameside Hospital NHS Foundation Trust,RMP,50,100,75,100,100
Taunton and Somerset NHS Foundation Trust,RBA,75,100,75,100,75
The Christie NHS Foundation Trust,RBV,25,100,75,100,75
The Dudley Group NHS Foundation Trust,RNA,100,100,100,100,100
The Hillingdon Hospitals NHS Foundation Trust,RAS,100,100,75,100,100
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,RTD,100,100,100,100,100
The Princess Alexandra Hospital NHS Trust,RQW,100,100,100,75,75
The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,RCX,0,75,0,0,25
The Queen Victoria Hospital NHS Foundation Trust,RPC,25,25,50,0,25
The Robert Jones & Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,RL1,25,75,50,25,75
The Rotherham NHS Foundation Trust,RFR,75,100,75,75,100
The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,RDZ,75,100,100,25,75
The Royal Marsden NHS Foundation Trust,RPY,100,100,100,100,100
The Royal Orthopaedic Hospital NHS Foundation Trust,RRJ,75,100,100,75,50
The Royal Wolverhampton NHS Trust,RL4,100,100,100,75,100
The Walton Centre NHS Foundation Trust,RET,100,100,100,100,100
The Whittington Hospital NHS Trust,RKE,25,100,0,25,75
Torbay and Southern Devon Health and Care NHS Trust,R1G,100,0,100,50,100
United Lincolnshire Hospitals NHS Trust,RWD,75,75,75,25,100
University College London Hospitals NHS Foundation Trust,RRV,100,100,75,100,75
University Hospital Of North Staffordshire NHS Trust,RJE,50,100,100,100,75
University Hospital Of South Manchester NHS Foundation Trust,RM2,75,75,75,75,25
University Hospitals Birmingham NHS Foundation Trust,RRK,100,100,100,100,100
University Hospitals Bristol NHS Foundation Trust,RA7,100,100,,,100
University Hospitals Coventry and Warwickshire NHS,RKB,100,100,100,100,100
University Hospitals Of Leicester NHS Trust,RWE,100,100,100,100,100
University Hospitals Of Morecambe Bay NHS Trust,RTX,75,75,75,75,75
University Hospitals Southampton NHS Foundation Trust,RHM,100,100,100,50,75
Walsall Healthcare NHS Trust,RBK,75,100,0,0,100
Warrington and Halton Hospitals NHS Foundation Trust,RWW,100,100,100,100,100
West Hertfordshire Hospitals NHS Trust,RWG,75,100,25,75,75
West Suffolk NHS Foundation Trust,RGR,100,100,100,100,50
Western Sussex Hospitals NHS Trust,RYR,75,100,100,100,25
Weston Area Health NHS Trust,RA3,50,100,50,25,25
Wirral University Teaching Hospital NHS Foundation Trust,RBL,100,100,100,75,100
Worcestershire Acute Hospitals NHS Trust,RWP,75,100,25,,75
"Wrightington, Wigan and Leigh NHS Foundation Trust",RRF,75,100,100,75,50
Wye Valley NHS Trust,RLQ,100,75,100,100,75
Yeovil District Hospital NHS Foundation Trust,RA4,100,100,100,100,100
York Teaching Hospital NHS Foundation Trust,RCB,50,100,100,100,75
