organisation_name,organisation_id,"Your organisation has the buying, contracting, and supplier management capability it needs to manage technology suppliers",Your organisation undertakes quantitative and qualitative benefits identification in conjunction with commercial suppliers,Your organisation ensures adequate resources are available for technology implementation and change management,Your organisation has a clinical safety officer and routinely undertakes assessment of clinical safety and risk for all digital projects,There are financial plans in place for investment in digital technology you require over the next 2-3 years
Aintree University Hospital NHS Foundation Trust,REM,100,75,75,75,75
Airedale NHS Trust,RCF,100,75,100,75,100
Alder Hey Childrens NHS Foundation Trust,RBS,100,75,50,75,75
Ashford and St Peters Hospitals NHS Foundation Trust,RTK,100,50,100,75,25
"Barking, Havering and Redbridge Hospitals NHS Trust",RF4,25,0,25,25,25
Barnsley Hospital NHS Foundation Trust,RFF,100,100,75,100,75
Barts Health NHS Trust,R1H,25,25,25,50,0
Basildon and Thurrock University Hospitals NHS Foundation Trust,RDD,100,50,50,75,50
Bedford Hospitals NHS Trust,RC1,50,25,50,75,75
Birmingham Childrens Hospital NHS Foundation Trust,RQ3,100,75,75,100,75
Birmingham Womens NHS Foundation Trust,RLU,75,25,50,100,75
Blackpool Teaching Hospitals NHS Foundation Trust,RXL,100,75,75,75,75
Bolton NHS Foundation Trust,RMC,100,50,0,75,0
Bradford Teaching Hospitals NHS Foundation Trust,RAE,100,75,50,75,50
Brighton and Sussex University Hospitals NHS Trust,RXH,75,75,25,25,50
Buckinghamshire Healthcare NHS Trust,RXQ,75,75,25,100,75
Burton Hospitals NHS Foundation Trust,RJF,75,75,50,50,75
Calderdale and Huddersfield NHS Foundation Trust,RWY,100,75,100,75,75
Cambridge University Hospitals NHS Foundation Trust,RGT,75,75,50,75,75
Central Manchester University Hospitals NHS Foundation Trust,RW3,100,100,100,100,75
Chelsea and Westminster Hospital NHS Foundation Trust,RQM,75,75,75,100,75
Chesterfield Royal Hospital NHS Foundation Trust,RFS,75,75,75,0,50
City Hospitals Sunderland NHS Foundation Trust,RLN,75,75,75,75,75
Clatterbridge Cancer Centre NHS Foundation Trust,REN,75,75,75,75,75
Colchester Hospital University NHS Foundation Trust,RDE,100,100,75,75,75
Countess Of Chester Hospital NHS Foundation Trust,RJR,50,50,50,25,50
County Durham and Darlington NHS Foundation Trust,RXP,100,75,100,75,75
Croydon Health Services NHS Trust,RJ6,100,25,75,100,100
Dartford and Gravesham NHS Trust,RN7,25,75,75,75,100
Derby Hospitals NHS Foundation Trust,RTG,75,75,50,75,100
Doncaster and Bassetlaw Hospitals NHS Foundation Trust,RP5,75,50,75,75,75
Dorset County Hospitals NHS Foundation Trust,RBD,25,50,75,75,75
East and North Hertfordshire NHS Trust,RWH,75,75,50,75,25
East Cheshire NHS Trust,RJN,75,50,25,25,25
East Kent Hospitals NHS Trust,RVV,100,75,25,50,75
East Lancashire Hospitals NHS Trust,RXR,75,75,75,50,100
East Sussex Healthcare NHS Trust,RXC,75,75,50,0,75
Epsom and St Helier University Hospitals NHS Trust,RVR,50,75,25,50,75
Frimley Health NHS Foundation Trust,RDU,25,100,75,50,100
Gateshead Health NHS Foundation Trust,RR7,75,75,75,75,75
George Eliot Hospital NHS Trust,RLT,75,25,25,75,25
Gloucestershire Hospitals NHS Foundation Trust,RTE,75,50,50,75,75
Great Ormond Street Hospital For Children NHS Foundation Trust,RP4,25,0,25,0,25
