organisation_name,organisation_id,Your organisation has a clearly defined digital strategy which is aligned to clinical and corporate objectives.,"Implementation of the digital strategy is fully aligned to, and supported by, a service transformation programme(s).",There are effective processes in place to prioritise investment in digital technology and support ideas through to implementation,Digital technology is being used to support improved collaboration and coordination across different parts of your organisation,Your organisation participates in a wider health and care community initiative to achieve digital record sharing
Aintree University Hospital NHS Foundation Trust,REM,100,75,100,75,100
Airedale NHS Trust,RCF,100,100,100,100,100
Alder Hey Childrens NHS Foundation Trust,RBS,100,75,100,100,100
Ashford and St Peters Hospitals NHS Foundation Trust,RTK,75,75,75,75,50
"Barking, Havering and Redbridge Hospitals NHS Trust",RF4,100,25,75,75,75
Barnsley Hospital NHS Foundation Trust,RFF,75,75,75,100,100
Barts Health NHS Trust,R1H,25,,25,50,75
Basildon and Thurrock University Hospitals NHS Foundation Trust,RDD,50,,75,100,75
Bedford Hospitals NHS Trust,RC1,75,75,100,100,75
Birmingham Childrens Hospital NHS Foundation Trust,RQ3,100,100,100,100,100
Birmingham Womens NHS Foundation Trust,RLU,75,50,75,75,25
Blackpool Teaching Hospitals NHS Foundation Trust,RXL,100,100,75,75,100
Bolton NHS Foundation Trust,RMC,50,,50,50,100
Bradford Teaching Hospitals NHS Foundation Trust,RAE,100,100,100,100,100
Brighton and Sussex University Hospitals NHS Trust,RXH,50,,75,25,50
Buckinghamshire Healthcare NHS Trust,RXQ,75,75,75,75,100
Burton Hospitals NHS Foundation Trust,RJF,75,,75,50,75
Calderdale and Huddersfield NHS Foundation Trust,RWY,100,,100,75,75
Cambridge University Hospitals NHS Foundation Trust,RGT,75,75,75,75,75
Central Manchester University Hospitals NHS Foundation Trust,RW3,100,100,100,100,100
Chelsea and Westminster Hospital NHS Foundation Trust,RQM,75,100,100,75,100
Chesterfield Royal Hospital NHS Foundation Trust,RFS,50,,75,75,100
City Hospitals Sunderland NHS Foundation Trust,RLN,75,75,100,75,50
Clatterbridge Cancer Centre NHS Foundation Trust,REN,100,100,100,100,75
Colchester Hospital University NHS Foundation Trust,RDE,25,,25,25,25
Countess Of Chester Hospital NHS Foundation Trust,RJR,75,25,50,75,100
County Durham and Darlington NHS Foundation Trust,RXP,75,75,100,75,75
Croydon Health Services NHS Trust,RJ6,75,75,75,100,100
Dartford and Gravesham NHS Trust,RN7,100,75,100,100,75
Derby Hospitals NHS Foundation Trust,RTG,75,75,100,75,100
Doncaster and Bassetlaw Hospitals NHS Foundation Trust,RP5,75,75,75,75,100
Dorset County Hospitals NHS Foundation Trust,RBD,75,75,100,50,100
East and North Hertfordshire NHS Trust,RWH,75,100,75,75,100
East Cheshire NHS Trust,RJN,50,,50,25,25
East Kent Hospitals NHS Trust,RVV,100,75,100,75,50
East Lancashire Hospitals NHS Trust,RXR,75,50,75,75,100
East Sussex Healthcare NHS Trust,RXC,75,75,75,75,100
Epsom and St Helier University Hospitals NHS Trust,RVR,25,,25,50,50
Frimley Health NHS Foundation Trust,RDU,100,50,100,75,75
Gateshead Health NHS Foundation Trust,RR7,100,75,100,75,100
George Eliot Hospital NHS Trust,RLT,25,,75,75,75
Gloucestershire Hospitals NHS Foundation Trust,RTE,75,75,75,75,100
Great Ormond Street Hospital For Children NHS Foundation Trust,RP4,50,,50,25,0
Great Western Hospitals NHS Foundation Trust,RN3,100,75,75,75,100
Guys and St Thomas NHS Foundation Trust,RJ1,100,100,100,75,100
Hampshire Hospitals NHS Foundation Trust,RN5,50,,100,75,100
Harrogate and District NHS Foundation Trust,RCD,75,75,75,75,100
Heart Of England NHS Foundation Trust,RR1,75,50,50,50,100
