organisation_name,organisation_id,Your organisation uses digital systems to manage inpatient beds.,Patient flow is tracked digitally in real time to identify bottlenecks and delays within your organisation.,Your organisation uses digital systems to track the location of key clinical assets.,Your organisation uses digital systems to manage staff rostering.,Relevant data from monitoring devices is uploaded into patient and service user records or charts automatically.,Staff working in the community can perform all patient and service user care tasks without returning to base.,Location tracking is used for dynamic worklist management of staff working in the community.
Aintree University Hospital NHS Foundation Trust,REM,100,100,0,100,0,,
Airedale NHS Foundation Trust,RCF,100,100,50,75,0,75,0
Alder Hey Childrens NHS Foundation Trust,RBS,25,75,25,25,25,75,0
Ashford and St Peters Hospitals NHS Foundation Trust,RTK,100,100,0,100,50,,
"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,75,25,0,100,0,,
Barnsley Hospital NHS Foundation Trust,RFF,75,75,0,100,0,,
Barts Health NHS Trust,R1H,50,25,50,100,25,50,0
Basildon and Thurrock University Hospitals NHS Foundation Trust,RDD,75,100,100,100,100,,
Bedford Hospital NHS Trust,RC1,100,50,50,100,75,,
Birmingham Women's and Children's NHS Foundation Trust,RLU,75,25,25,100,50,50,25
Blackpool Teaching Hospitals NHS Foundation Trust,RXL,100,100,0,100,25,50,25
Bolton NHS Foundation Trust,RMC,100,75,0,100,0,0,0
Bradford Teaching Hospitals NHS Foundation Trust,RAE,100,100,25,75,50,,
Brighton and Sussex University Hospitals NHS Trust,RXH,75,75,0,75,0,,
Buckinghamshire Healthcare NHS Trust,RXQ,25,25,0,75,25,50,0
Burton Hospitals NHS Foundation Trust,RJF,100,100,75,100,75,,
Calderdale and Huddersfield NHS Foundation Trust,RWY,75,75,0,75,75,100,0
Cambridge University Hospitals NHS Foundation Trust,RGT,100,100,100,100,100,,
Central Manchester University Hospitals NHS Foundation Trust,RW3,100,75,25,75,75,50,0
Chelsea and Westminster Hospital NHS Foundation Trust,RQM,100,100,0,75,25,,
Chesterfield Royal Hospital NHS Foundation Trust,RFS,100,75,25,75,0,75,0
Christie NHS Foundation Trust,RBV,100,75,100,100,75,,
City Hospitals Sunderland NHS Foundation Trust,RLN,75,75,25,100,50,,
Clatterbridge Cancer Centre NHS Foundation Trust,REN,100,100,50,75,50,,
Colchester Hospital University NHS Foundation Trust,RDE,100,75,100,100,50,,
Countess Of Chester Hospital NHS Foundation Trust,RJR,100,100,100,75,25,,
County Durham and Darlington NHS Foundation Trust,RXP,100,100,0,75,0,100,0
Croydon Health Services NHS Trust,RJ6,100,100,25,100,75,50,0
Dartford and Gravesham NHS Trust,RN7,75,0,75,100,75,,
Derby Teaching Hospitals NHS Foundation Trust,RTG,100,100,50,100,75,,
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,RP5,25,25,0,75,25,75,25
Dorset County Hospital NHS Foundation Trust,RBD,100,75,75,75,50,,
Dudley Group NHS Foundation Trust,RNA,75,75,0,75,0,,
East and North Hertfordshire NHS Trust,RWH,50,25,25,75,25,,
East Cheshire NHS Trust,RJN,100,75,25,75,0,75,0
East Kent Hospitals University NHS Foundation Trust,RVV,50,50,100,100,50,,
East Lancashire Hospitals NHS Trust,RXR,100,100,100,75,0,75,75
East Sussex Healthcare NHS Trust,RXC,25,0,25,100,50,25,25
Epsom and St Helier University Hospitals NHS Trust,RVR,50,50,0,100,75,,
Frimley Health NHS Foundation Trust,RDU,100,100,25,50,75,75,0
Gateshead Health NHS Foundation Trust,RR7,50,75,50,75,25,100,50
George Eliot Hospital NHS Trust,RLT,50,100,25,75,75,,
Gloucestershire Hospitals NHS Foundation Trust,RTE,0,0,75,75,25,,
Great Ormond Street Hospital For Children NHS Foundation Trust,RP4,100,50,75,100,100,,
Great Western Hospitals NHS Foundation Trust,RN3,100,100,25,75,25,,
Guys and St Thomas NHS Foundation Trust,RJ1,25,25,0,75,0,0,0
Hampshire Hospitals NHS Foundation Trust,RN5,25,0,0,100,25,,
Harrogate and District NHS Foundation Trust,RCD,100,50,25,75,50,75,0
