organisation_name,organisation_id,Health and care professionals receive digital alerts to the existence of patient and service user preferences.,Health and care professionals receive digital alerts to specific patient and service user risks.,"Digital systems alert health and care professionals of patients and service users whose clinical observations, or early warning scores, are deteriorating and need review.",Digital systems alert health and care professionals outside your organisation to relevant operational information about their patients and service users.,Your organisation monitors the overruling of decision support prompts and the reasons recorded.,"Health and care professionals are directed to relevant, up to date and evidence-based reference material as part of digital clinical workflows and care pathways.","Digital systems provide automatic prompts for the next action required by multi-step care plans, pathways  protocols.",Healthcare professionals are prompted to complete or remind patients about overdue care actions and/or missing information.,Digital systems identify patients who are ready for discharge to a different setting.,"Digital systems supports patient discharge, social care notifications and multidisciplinary discharge planning.",Alerts support staff members in tracking Mental Health Act deadlines.,Digital systems support your triage and pathway allocation processes to enable effective and evidence based pathways of care.
Aintree University Hospital NHS Foundation Trust,REM,50,50,75,50,0,0,0,0,100,100,,0
Airedale NHS Foundation Trust,RCF,100,100,0,100,75,75,75,75,50,75,,50
Alder Hey Childrens NHS Foundation Trust,RBS,75,75,100,25,25,50,75,75,75,75,0,75
Ashford and St Peters Hospitals NHS Foundation Trust,RTK,25,75,100,100,75,0,25,0,75,75,,25
"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,25,75,75,0,0,0,0,0,0,75,,0
Barnsley Hospital NHS Foundation Trust,RFF,50,75,0,0,0,,0,0,0,0,,0
Barts Health NHS Trust,R1H,25,75,25,75,0,75,25,25,50,75,,25
Basildon and Thurrock University Hospitals NHS Foundation Trust,RDD,75,100,100,25,25,50,50,50,75,50,,50
Bedford Hospital NHS Trust,RC1,25,50,0,25,100,25,0,25,75,50,,50
Birmingham Women's and Children's NHS Foundation Trust,RLU,25,50,25,25,25,50,50,50,75,75,75,50
Blackpool Teaching Hospitals NHS Foundation Trust,RXL,0,50,25,25,0,25,0,50,50,25,,50
Bolton NHS Foundation Trust,RMC,0,25,75,25,0,0,0,0,75,75,,25
Bradford Teaching Hospitals NHS Foundation Trust,RAE,100,100,100,100,100,100,75,100,100,75,,75
Brighton and Sussex University Hospitals NHS Trust,RXH,0,50,0,25,50,25,0,0,75,50,,25
Buckinghamshire Healthcare NHS Trust,RXQ,0,25,0,25,25,0,0,0,0,0,,25
Burton Hospitals NHS Foundation Trust,RJF,100,100,50,75,75,75,100,100,75,100,,75
Calderdale and Huddersfield NHS Foundation Trust,RWY,25,75,100,75,75,50,75,75,0,75,,0
Cambridge University Hospitals NHS Foundation Trust,RGT,100,100,100,100,75,100,100,100,100,100,,100
Central Manchester University Hospitals NHS Foundation Trust,RW3,50,50,100,75,50,25,25,0,75,50,,25
Chelsea and Westminster Hospital NHS Foundation Trust,RQM,25,25,50,25,0,0,50,50,50,50,,25
Chesterfield Royal Hospital NHS Foundation Trust,RFS,50,75,25,25,25,0,0,0,75,75,,50
Christie NHS Foundation Trust,RBV,75,100,100,100,75,100,75,100,100,75,,75
City Hospitals Sunderland NHS Foundation Trust,RLN,100,100,75,75,75,75,100,100,100,75,,75
Clatterbridge Cancer Centre NHS Foundation Trust,REN,75,75,75,50,75,50,75,50,75,75,,75
Colchester Hospital University NHS Foundation Trust,RDE,75,75,50,0,50,0,0,0,75,0,,75
Countess Of Chester Hospital NHS Foundation Trust,RJR,25,100,75,75,,25,25,25,75,75,,25
County Durham and Darlington NHS Foundation Trust,RXP,50,75,100,50,50,50,50,50,100,0,,50
Croydon Health Services NHS Trust,RJ6,75,75,100,0,75,75,75,100,50,50,,50
Dartford and Gravesham NHS Trust,RN7,75,75,0,0,0,25,0,0,75,75,,100
Derby Teaching Hospitals NHS Foundation Trust,RTG,75,75,100,75,75,50,75,75,75,75,,75
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,RP5,0,75,0,25,0,25,25,0,50,25,,75
Dorset County Hospital NHS Foundation Trust,RBD,75,75,75,25,25,25,0,25,50,50,,0
Dudley Group NHS Foundation Trust,RNA,25,50,0,25,25,25,25,0,25,50,,0
East and North Hertfordshire NHS Trust,RWH,25,25,50,0,25,25,0,25,50,50,,50
East Cheshire NHS Trust,RJN,50,25,50,25,25,25,25,25,25,50,,25
East Kent Hospitals University NHS Foundation Trust,RVV,100,100,100,100,50,,0,50,25,25,,25
East Lancashire Hospitals NHS Trust,RXR,50,50,25,25,,25,75,75,100,75,,0
East Sussex Healthcare NHS Trust,RXC,50,50,75,25,0,0,0,25,0,0,,25
Epsom and St Helier University Hospitals NHS Trust,RVR,25,25,75,0,,50,25,75,25,25,,25
Frimley Health NHS Foundation Trust,RDU,25,75,0,0,25,25,0,0,75,100,,25
Gateshead Health NHS Foundation Trust,RR7,25,75,75,50,75,50,25,50,75,75,0,50
George Eliot Hospital NHS Trust,RLT,0,75,100,25,0,0,0,0,75,75,,25
Gloucestershire Hospitals NHS Foundation Trust,RTE,25,25,0,25,0,0,0,0,25,25,,0
Great Ormond Street Hospital For Children NHS Foundation Trust,RP4,25,50,100,0,0,0,0,0,0,0,,0
Great Western Hospitals NHS Foundation Trust,RN3,50,100,0,75,0,25,25,0,100,0,,50
Guys and St Thomas NHS Foundation Trust,RJ1,50,75,75,0,50,25,25,25,25,50,,0
Hampshire Hospitals NHS Foundation Trust,RN5,75,100,0,25,0,0,0,0,100,0,,0
Harrogate and District NHS Foundation Trust,RCD,0,0,100,25,75,25,25,25,25,25,,50
Heart Of England NHS Foundation Trust,RR1,0,0,0,25,50,50,25,75,75,50,,50
Hillingdon Hospitals NHS Foundation Trust,RAS,50,25,0,75,0,0,0,0,0,75,,0
Homerton University Hospital NHS Foundation Trust,RQX,75,75,100,0,100,75,100,75,75,75,,75
Hull and East Yorkshire Hospitals NHS Trust,RWA,50,75,75,100,50,50,0,0,100,100,,75
Imperial College Healthcare NHS Trust,RYJ,0,75,75,25,50,50,50,75,25,75,,75
Ipswich Hospital NHS Trust,RGQ,0,0,0,0,50,0,0,0,0,75,,0
Isle Of Wight NHS Trust,R1F,,50,75,25,,75,50,25,0,25,75,25
James Paget University Hospitals NHS Foundation Trust,RGP,0,50,0,0,0,0,0,0,0,0,,0
Kettering General Hospital NHS Foundation Trust,RNQ,0,75,0,75,0,0,0,0,0,25,,0
Kings College Hospital NHS Foundation Trust,RJZ,25,50,75,0,50,25,25,25,25,75,,25
Kingston Hospital NHS Foundation Trust,RAX,0,100,100,0,50,75,50,75,75,100,,50
Lancashire Teaching Hospitals NHS Foundation Trust,RXN,50,75,75,0,0,75,50,75,100,100,,75
Leeds Teaching Hospitals NHS Trust,RR8,50,50,75,75,25,25,50,50,100,100,,50
Lewisham and Greenwich NHS Trust,RJ2,50,75,75,0,0,0,0,0,75,50,0,75
Liverpool Heart and Chest Hospital NHS Foundation Trust,RBQ,75,75,100,50,50,75,75,75,100,75,,50
Liverpool Womens NHS Foundation Trust,REP,25,75,50,0,50,0,75,75,25,75,,50
London North West Healthcare NHS Trust,R1K,,,,,,,,,,,,
Luton and Dunstable University Hospital NHS Foundation Trust,RC9,50,75,75,25,100,50,50,75,75,75,,50
Maidstone and Tunbridge Wells NHS Trust,RWF,0,75,100,75,25,25,50,25,25,25,,25
Medway NHS Foundation Trust,RPA,75,75,75,75,50,50,75,75,100,100,,75
Mid Cheshire Hospitals NHS Foundation Trust,RBT,0,25,0,0,0,0,0,0,100,100,,25
Mid Essex Hospital Services NHS Trust,RQ8,75,75,100,25,50,75,0,0,100,100,,75
Mid Yorkshire Hospitals NHS Trust,RXF,0,0,75,25,,,0,0,75,50,,
Milton Keynes University Hospital NHS Foundation Trust,RD8,25,25,0,0,0,0,0,0,0,25,,0
Moorfields Eye Hospital NHS Foundation Trust,RP6,0,25,0,75,0,0,0,25,,100,,25
Newcastle Upon Tyne Hospitals NHS Foundation Trust,RTD,75,75,50,0,50,50,25,25,,25,,75
Norfolk and Norwich University Hospitals NHS Foundation Trust,RM1,0,50,0,0,0,0,0,0,50,25,,0
North Bristol NHS Trust,RVJ,0,75,0,0,50,0,75,75,100,100,,50
North Cumbria University Hospitals NHS Trust,RNL,0,0,,,0,50,0,0,50,75,0,0
North Middlesex University Hospital NHS Trust,RAP,25,25,0,0,25,0,0,25,50,75,,0
North Tees and Hartlepool NHS Foundation Trust,RVW,100,100,75,100,75,100,100,100,100,100,,100
North West Anglia NHS Foundation Trust,RGN,25,100,100,25,75,25,25,25,50,100,,50
Northampton General Hospital NHS Trust,RNS,25,50,100,50,75,25,25,25,75,50,,75
Northern Devon Healthcare NHS Trust,RBZ,75,75,50,100,25,25,25,25,100,75,,50
Northern Lincolnshire and Goole NHS Foundation Trust,RJL,50,100,100,25,25,75,50,50,100,50,,50
Northumbria Healthcare NHS Foundation Trust,RTF,0,50,75,25,75,25,50,25,50,25,0,25
Nottingham University Hospitals NHS Trust,RX1,25,75,100,0,0,75,0,75,100,100,,100
Oxford University Hospitals NHS Foundation Trust,RTH,75,100,100,50,75,75,75,75,75,75,,50
Papworth Hospital NHS Foundation Trust,RGM,0,25,100,0,0,25,25,25,0,0,,25
Pennine Acute Hospitals NHS Trust,RW6,0,75,50,75,100,75,50,50,100,75,,50
Plymouth Hospitals NHS Trust,RK9,75,50,0,50,,,,,50,50,,50
Poole Hospital NHS Foundation Trust,RD3,75,75,75,25,25,25,25,25,75,75,,75
Portsmouth Hospitals NHS Trust,RHU,25,25,75,0,0,0,0,0,75,25,,25
Princess Alexandra Hospital NHS Trust,RQW,0,75,100,0,75,75,50,50,75,75,,50
Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,RCX,0,0,0,25,,25,0,0,0,0,,0
Queen Victoria Hospital NHS Foundation Trust,RPC,0,0,0,0,0,0,0,0,0,0,,0
Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,RL1,25,25,75,0,,0,25,50,50,50,,25
Rotherham NHS Foundation Trust,RFR,100,100,0,100,50,50,50,25,100,100,,25
Royal Berkshire NHS Foundation Trust,RHW,50,75,25,0,50,25,25,50,75,75,,50
Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,RDZ,50,100,75,50,25,25,0,0,25,0,,50
Royal Brompton and Harefield NHS Foundation Trust,RT3,0,0,0,0,25,25,0,0,100,0,,0
Royal Cornwall Hospitals NHS Trust,REF,75,100,100,75,50,50,0,75,100,100,,50
Royal Devon and Exeter NHS Foundation Trust,RH8,0,25,25,25,0,0,0,100,100,75,,0
Royal Free London NHS Foundation Trust,RAL,0,50,0,75,25,25,25,25,0,0,,25
Royal Liverpool and Broadgreen University Hospitals NHS Trust,RQ6,75,75,100,75,50,75,100,100,,,,
Royal Marsden NHS Foundation Trust,RPY,0,0,50,0,0,0,0,0,0,25,,0
Royal National Orthopaedic Hospital NHS Trust,RAN,0,25,100,0,50,0,0,0,75,75,,0
Royal Orthopaedic Hospital NHS Foundation Trust,RRJ,0,0,0,0,,0,0,0,0,75,,50
Royal Surrey County Hospital NHS Foundation Trust,RA2,50,50,75,25,0,50,25,50,50,25,,25
Royal United Hospitals Bath NHS Foundation Trust,RD1,75,75,25,50,50,50,75,75,100,75,,25
Royal Wolverhampton NHS Trust,RL4,50,100,100,100,75,25,50,75,100,100,,75
Salford Royal NHS Foundation Trust,RM3,100,100,100,100,50,100,100,75,100,100,,100
Salisbury NHS Foundation Trust,RNZ,,,,,,,,,,,,
Sandwell and West Birmingham Hospitals NHS Trust,RXK,0,75,50,0,0,25,0,25,100,25,,75
Sheffield Childrens NHS Foundation Trust,RCU,0,25,25,0,,0,25,25,0,,,
Sheffield Teaching Hospitals NHS Foundation Trust,RHQ,75,75,0,0,0,25,25,25,75,50,,50
Sherwood Forest Hospitals NHS Foundation Trust,RK5,25,75,75,50,0,75,50,75,50,100,,50
Shrewsbury and Telford Hospital NHS Trust,RXW,25,25,75,0,25,25,0,0,75,25,,0
South Tees Hospitals NHS Foundation Trust,RTR,0,75,100,0,25,25,25,75,75,75,,50
South Tyneside NHS Foundation Trust,RE9,50,50,0,50,0,0,50,50,75,75,,0
