organisation_name,organisation_id,Health and care professionals use digital systems to get a complete view of patients medications/prescriptions referring to the whole episode of care.,What proportion of inpatient medications are prescribed digitally in your organisation?,What proportion of discharge medications are prescribed digitally in your organisation?,What proportion of outpatient medications are prescribed digitally in your organisation?,"Digital prescribing is routinely performed across all specialties, departments and sites.",Complex medicines including infusions are routinely prescribed digitally.,"When prescribing, health and care professionals have access to medication order sets.","When prescribing digitally, health and care professionals are alerted of all of the following CDS categories: drug: drug interactions, allergy intolerance, duplication of therapeutic class of drug, out of range doses (for at least a selection of medicines).",Digital prescribing supports health and care professionals in the calculation of medication doses.,Completion of a digital patient risk assessment form for Venous Thromboembolism offers best practice guidance and prompts prescription of appropriate medications.,Medicines and infusions are automatically scheduled for administration &and their administration is digitally recorded.,"Your organisation routinely digitally monitors prescribed medications administered early, late or not administered at all, and reviews the reasons recorded.",Medication administration is supported in your organisation by the use of positive identification of patients and medicines using appropriate digital technologies.,Monitoring of patients and service users on high risk medicines are supported by the digital availability of relevant laboratory results within the system to aid clinical decision making.,"Your organisation routinely digitally monitors system-related medication adverse events and governance arrangements are in place to analyse, learn from and mitigate such issues.",Antibiotics are routinely prescribed digitally based on local or national formulary guidelines and antimicrobial stewardship is supported using decision support .,The system supports alerting for the percentage of BNF maximum dose for antipsychotics and cumulative percentage of all prescribed antipsychotic items.,The system has the ability to identify according to locally defined rules categories of patients and service users during their episode of care that might be considered high-risk and requiring clinical pharmacy input.,What proportion of chemotherapy (SACT drugs) is prescribed digitally to adults in your organisation?,What proportion of chemotherapy &(SACT drugs) is prescribed digitally to children in your organisation?
Aintree University Hospital NHS Foundation Trust,REM,75,100,100,40,75,25,75,75,50,75,100,75,25,50,75,75,25,75,100,
Airedale NHS Foundation Trust,RCF,75,100,100,0,,,75,100,0,100,100,25,0,25,75,50,0,25,100,
Alder Hey Childrens NHS Foundation Trust,RBS,25,80,100,80,25,25,25,75,75,75,75,75,0,75,100,25,25,25,,60
Ashford and St Peters Hospitals NHS Foundation Trust,RTK,25,20,20,20,0,25,25,25,25,25,25,75,0,25,100,0,0,0,100,0
"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,25,0,80,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,100,100
Barnsley Hospital NHS Foundation Trust,RFF,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0
Barts Health NHS Trust,R1H,25,0,20,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,100,100
Basildon and Thurrock University Hospitals NHS Foundation Trust,RDD,25,0,100,0,,,,,50,100,,,,50,100,50,,,100,0
Bedford Hospital NHS Trust,RC1,75,100,100,20,100,25,50,75,75,75,100,100,25,75,100,100,75,50,100,0
Birmingham Women's and Children's NHS Foundation Trust,RLU,25,20,20,0,,,25,100,100,100,25,25,25,75,25,25,100,75,100,100
Blackpool Teaching Hospitals NHS Foundation Trust,RXL,75,0,0,0,,,0,0,0,,0,0,0,75,25,0,0,0,100,100
Bolton NHS Foundation Trust,RMC,75,0,100,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradford Teaching Hospitals NHS Foundation Trust,RAE,100,100,100,100,100,100,100,100,100,100,100,75,100,50,75,100,100,100,100,
Brighton and Sussex University Hospitals NHS Trust,RXH,0,0,100,0,,,0,0,0,0,0,0,25,75,100,0,0,0,0,0
Buckinghamshire Healthcare NHS Trust,RXQ,50,20,20,20,0,0,50,0,0,50,0,0,25,0,0,0,0,0,100,100
Burton Hospitals NHS Foundation Trust,RJF,100,100,100,60,100,100,100,75,100,100,75,100,100,100,75,75,75,100,100,
Calderdale and Huddersfield NHS Foundation Trust,RWY,75,100,100,100,100,100,100,75,100,75,100,75,75,100,100,100,0,25,100,
Cambridge University Hospitals NHS Foundation Trust,RGT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,20
Central Manchester University Hospitals NHS Foundation Trust,RW3,0,20,80,0,,,25,0,25,25,25,0,0,25,50,0,0,0,100,20
Chelsea and Westminster Hospital NHS Foundation Trust,RQM,100,60,80,,75,75,75,75,25,75,75,75,25,50,75,50,75,25,100,100
Chesterfield Royal Hospital NHS Foundation Trust,RFS,100,100,100,80,75,25,75,50,25,0,75,75,,75,0,75,0,100,100,100
Christie NHS Foundation Trust,RBV,75,20,100,80,50,100,100,75,100,100,100,75,0,100,100,0,,100,100,
City Hospitals Sunderland NHS Foundation Trust,RLN,100,100,100,100,100,75,100,100,100,100,100,75,75,100,100,100,25,25,100,
Clatterbridge Cancer Centre NHS Foundation Trust,REN,75,20,20,100,75,100,100,100,100,75,100,75,0,75,75,25,75,75,100,
Colchester Hospital University NHS Foundation Trust,RDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
Countess Of Chester Hospital NHS Foundation Trust,RJR,100,100,100,20,75,50,100,50,25,50,75,75,25,75,50,75,50,100,0,0
County Durham and Darlington NHS Foundation Trust,RXP,75,80,100,,75,75,75,75,75,50,100,100,0,75,75,75,0,100,80,
Croydon Health Services NHS Trust,RJ6,75,100,100,100,75,75,75,75,75,75,75,100,50,75,100,100,50,50,100,100
Dartford and Gravesham NHS Trust,RN7,75,20,100,20,25,25,25,25,25,,25,0,0,0,100,25,25,25,100,
Derby Teaching Hospitals NHS Foundation Trust,RTG,100,100,100,80,100,75,100,100,100,75,100,100,50,75,100,100,,75,100,100
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,RP5,75,100,80,0,,,100,75,50,0,75,75,0,50,75,75,,100,100,
Dorset County Hospital NHS Foundation Trust,RBD,100,100,60,100,75,75,75,100,75,75,75,50,25,25,75,75,,75,100,100
Dudley Group NHS Foundation Trust,RNA,0,20,100,20,0,25,0,25,50,0,25,0,0,25,0,0,0,0,20,0
East and North Hertfordshire NHS Trust,RWH,50,20,80,20,0,25,0,0,25,0,25,0,0,0,0,0,25,25,40,100
East Cheshire NHS Trust,RJN,25,0,100,20,,,0,25,0,0,25,0,0,0,25,0,,,100,
East Kent Hospitals University NHS Foundation Trust,RVV,0,20,20,20,25,0,0,0,0,75,25,25,0,0,0,0,0,0,100,100
East Lancashire Hospitals NHS Trust,RXR,75,20,100,0,,,0,100,100,0,0,25,25,,100,,,50,100,100
East Sussex Healthcare NHS Trust,RXC,50,0,40,0,,,0,0,0,0,0,0,0,0,0,0,0,0,100,100
Epsom and St Helier University Hospitals NHS Trust,RVR,75,100,100,40,75,50,75,0,0,0,75,50,0,25,25,0,0,0,100,0
Frimley Health NHS Foundation Trust,RDU,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Gateshead Health NHS Foundation Trust,RR7,100,100,100,0,,,100,75,50,0,100,75,0,0,75,,0,25,100,
George Eliot Hospital NHS Trust,RLT,25,0,100,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,100
Gloucestershire Hospitals NHS Foundation Trust,RTE,75,0,80,20,,,25,0,0,0,0,0,0,0,0,0,0,0,0,20
