organisation_name,organisation_id,What proportion of patient consultations do health and care professionals request digitally from colleagues or other specialties?,What proportion of laboratory tests are requested through a digital order system?,What proportion of radiology tests are requested through a digital order system?,What proportion of requests for any other diagnostic tests are made through a digital order system?,Digital orders are created in a structured format and held as part of the patients' and service users' digital care record.,Digital orders are pre-populated with information held in patient and service users' digital record.,"When making diagnostic test requests, health and care professionals have access to department, speciality or organisation level request/order sets.",Health and care professionals are alerted of duplicate test requests.,What proportion of inpatients are positively identified at the point of sample collection and specimen labelling prior to all diagnostic tests being performed?,"Requests received by diagnostic services are automatically integrated into digital workflows to enable booking, triaging or scheduling.",Health and care professionals can track the status of requests to diagnostic services through to completion.,What proportion of laboratory test results are available to health and care professionals digitally?,What proportion of radiology test results are available to health and care professionals digitally?,What proportion of results from any other diagnostic tests are available to health and care professionals digitally?,Health and care professionals have digital access to all relevant diagnostic test results and images for patients and service users under their care.,Digital results are held in a structured format to enable clinical decision support and data extraction.,Health and care professionals are automatically alerted of all results that require acknowledgement by them.,Health and care professionals can digitally access diagnostic test results and images quickly and easily at the point of care.
Aintree University Hospital NHS Foundation Trust,REM,80,100,100,60,100,75,100,25,60,100,100,100,100,100,75,75,25,100
Airedale NHS Foundation Trust,RCF,40,100,20,20,50,100,75,0,0,50,75,100,100,100,100,75,50,100
Alder Hey Childrens NHS Foundation Trust,RBS,80,100,100,100,100,100,75,100,0,100,100,100,100,100,100,100,100,100
Ashford and St Peters Hospitals NHS Foundation Trust,RTK,80,80,80,80,50,50,50,0,0,25,25,100,100,100,75,25,0,100
"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,20,20,0,0,100,100,75,50,100,0,50,100,100,60,75,0,0,75
Barnsley Hospital NHS Foundation Trust,RFF,,100,100,,75,25,75,25,,50,75,100,100,100,50,75,50,75
Barts Health NHS Trust,R1H,40,100,100,40,100,75,75,75,0,75,75,100,100,80,100,75,50,100
Basildon and Thurrock University Hospitals NHS Foundation Trust,RDD,20,100,100,100,100,100,100,100,100,75,75,100,100,100,100,100,100,100
Bedford Hospital NHS Trust,RC1,20,80,20,0,50,75,75,75,40,25,75,100,100,20,25,75,25,75
Birmingham Women's and Children's NHS Foundation Trust,RLU,0,80,20,20,100,100,100,50,100,25,25,100,100,80,75,100,25,100
Blackpool Teaching Hospitals NHS Foundation Trust,RXL,80,100,80,20,100,100,100,50,20,75,100,100,100,100,100,100,50,100
Bolton NHS Foundation Trust,RMC,0,40,0,,25,75,75,75,0,0,100,100,100,0,100,25,25,75
Bradford Teaching Hospitals NHS Foundation Trust,RAE,0,100,100,100,100,100,100,100,100,75,75,100,100,60,100,100,50,100
Brighton and Sussex University Hospitals NHS Trust,RXH,20,0,0,0,,,,,100,,25,100,100,100,75,0,25,75
Buckinghamshire Healthcare NHS Trust,RXQ,20,60,100,20,0,0,50,75,0,50,25,100,100,80,50,100,25,75
Burton Hospitals NHS Foundation Trust,RJF,80,100,100,60,100,100,100,100,80,75,75,100,100,80,100,100,100,100
Calderdale and Huddersfield NHS Foundation Trust,RWY,40,100,100,100,100,50,75,75,60,75,75,100,100,100,75,100,75,75
Cambridge University Hospitals NHS Foundation Trust,RGT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Central Manchester University Hospitals NHS Foundation Trust,RW3,80,100,100,100,100,100,100,100,60,75,100,100,100,100,75,50,50,100
Chelsea and Westminster Hospital NHS Foundation Trust,RQM,80,100,100,100,100,75,75,75,80,75,75,100,100,100,75,100,75,75
Chesterfield Royal Hospital NHS Foundation Trust,RFS,20,100,100,20,25,75,100,75,20,75,25,100,100,60,75,100,75,100
Christie NHS Foundation Trust,RBV,100,20,100,60,100,100,100,100,100,75,75,100,100,60,75,100,100,75
City Hospitals Sunderland NHS Foundation Trust,RLN,40,100,100,100,100,100,100,100,0,100,100,100,100,100,75,100,100,100
Clatterbridge Cancer Centre NHS Foundation Trust,REN,60,100,100,,100,75,75,100,100,50,75,100,100,60,75,75,75,75
Colchester Hospital University NHS Foundation Trust,RDE,20,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Countess Of Chester Hospital NHS Foundation Trust,RJR,80,100,100,100,100,100,100,75,20,75,100,100,100,80,100,100,25,100
County Durham and Darlington NHS Foundation Trust,RXP,60,60,100,40,50,25,75,75,0,75,75,100,100,100,100,100,75,100
Croydon Health Services NHS Trust,RJ6,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Dartford and Gravesham NHS Trust,RN7,80,100,100,80,100,75,100,100,100,100,100,100,100,60,100,75,25,100
Derby Teaching Hospitals NHS Foundation Trust,RTG,80,100,100,40,100,100,100,75,20,100,100,100,100,100,75,100,75,100
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,RP5,80,80,80,0,75,100,100,75,100,50,75,100,100,60,75,100,50,75
Dorset County Hospital NHS Foundation Trust,RBD,20,100,100,40,50,50,75,50,100,50,75,100,100,20,50,50,50,50
Dudley Group NHS Foundation Trust,RNA,40,20,60,20,100,100,50,75,0,0,25,100,100,80,75,75,25,100
East and North Hertfordshire NHS Trust,RWH,20,80,100,20,0,25,25,50,0,75,75,100,100,0,0,25,0,75
East Cheshire NHS Trust,RJN,20,0,80,20,,,,,20,,25,60,60,20,50,25,0,25
East Kent Hospitals University NHS Foundation Trust,RVV,100,100,100,100,100,100,100,50,100,75,75,100,100,100,100,100,100,100
East Lancashire Hospitals NHS Trust,RXR,80,100,100,80,100,50,100,100,20,100,100,100,100,80,100,100,75,100
East Sussex Healthcare NHS Trust,RXC,40,100,20,20,75,25,25,0,0,25,0,100,100,80,75,50,0,100
Epsom and St Helier University Hospitals NHS Trust,RVR,40,80,80,80,100,25,100,75,0,25,75,100,100,100,75,100,0,100
Frimley Health NHS Foundation Trust,RDU,40,100,100,60,100,75,100,75,100,25,100,100,100,80,75,100,100,100
Gateshead Health NHS Foundation Trust,RR7,,,,,75,75,75,75,80,100,50,,,,75,75,75,75
George Eliot Hospital NHS Trust,RLT,20,0,0,20,,,,,0,,75,100,100,80,100,100,50,100
Gloucestershire Hospitals NHS Foundation Trust,RTE,20,40,100,20,75,25,75,50,0,75,75,100,100,,25,25,75,100
Great Ormond Street Hospital For Children NHS Foundation Trust,RP4,0,0,0,0,,,,,20,,0,100,100,60,0,0,0,75
Great Western Hospitals NHS Foundation Trust,RN3,0,,100,20,75,75,25,25,80,50,25,100,100,60,25,75,0,75
Guys and St Thomas NHS Foundation Trust,RJ1,60,100,100,100,100,50,100,75,0,50,25,100,100,100,75,100,0,75
Hampshire Hospitals NHS Foundation Trust,RN5,40,80,80,60,100,100,100,75,20,75,75,100,100,100,75,75,0,75
Harrogate and District NHS Foundation Trust,RCD,20,100,100,0,75,50,75,75,20,75,25,100,100,100,75,100,0,75
Heart Of England NHS Foundation Trust,RR1,20,60,100,80,100,100,50,50,80,50,50,100,100,40,75,75,100,100
Hillingdon Hospitals NHS Foundation Trust,RAS,0,100,80,,100,100,100,25,80,25,100,100,100,60,75,75,25,50
Homerton University Hospital NHS Foundation Trust,RQX,60,100,100,80,100,100,100,100,20,100,100,100,100,80,75,100,75,75
Hull and East Yorkshire Hospitals NHS Trust,RWA,60,100,100,40,100,100,100,100,0,100,100,100,100,40,75,100,75,75
Imperial College Healthcare NHS Trust,RYJ,20,100,100,20,100,100,100,100,0,100,75,100,100,80,75,75,75,75
Ipswich Hospital NHS Trust,RGQ,60,80,80,60,100,100,100,100,100,75,75,100,100,60,50,75,25,75
Isle Of Wight NHS Trust,R1F,,,0,0,50,50,50,0,0,75,50,100,100,,75,75,75,100
James Paget University Hospitals NHS Foundation Trust,RGP,60,20,20,20,75,50,50,25,60,0,25,100,100,100,50,50,25,25
Kettering General Hospital NHS Foundation Trust,RNQ,20,80,80,0,50,100,100,75,100,50,50,100,100,20,75,25,0,75
Kings College Hospital NHS Foundation Trust,RJZ,80,60,100,100,100,100,100,50,100,75,75,100,100,100,50,75,50,100
Kingston Hospital NHS Foundation Trust,RAX,80,100,100,20,100,100,75,100,0,75,75,100,100,20,75,100,75,100
Lancashire Teaching Hospitals NHS Foundation Trust,RXN,20,100,100,20,100,75,100,100,80,75,100,100,100,80,75,100,100,75
