organisation_name,organisation_id,What proportion of each of the following types of records is available digitally in your organisation:  -Clinical Notes,What proportion of each of the following types of records is available digitally in your organisation:  -Clinical Observations,What proportion of each of the following types of records is available digitally in your organisation:  -Care Plans,In what format are each of the following types of records held in your organisation:  -Clinical Notes,In what format are each of the following types of records held in your organisation:  -Clinical Observations,In what format are each of the following types of records held in your organisation:  -Care Plans,Health and care professionals can access digital records (or relevant components of them) at the point of need as part of their regular day-to-day routine.,Health and care professionals can update digital records (or relevant components of them) at the point of need as part of their regular day-to-day routine.,"When using digital records, health and care professionals can find what they need quickly and easily.",Health and care professionals use digital systems to record relevant patient and service user information at the point of collection.,Information is collected/recorded once.,Health and care professionals rely on digital records for the information they need at the point of need.,Health and care professionals have digital access at the point of care to the information they need from other local healthcare providers.,Health and care professionals in your organisation have digital access to the information they need from local social care providers.,Other local healthcare providers have digital access to the information they need from your organisation.,Local social care providers have digital access to information from your organisation.,Health and care professionals have access to a consolidated view of their patients' and service users' local health and care records.,Health and care professionals can contribute to a consolidated view of their patients' and service users' local health and care records.,Patients and service users are able to view and download information from their digital care record.,What proportion of information shared with health and care providers outside your organisation is provided in a structured or semi-structured digital format?
Aintree University Hospital NHS Foundation Trust,REM,100,100,100,50,50,50,75,75,100,50,75,75,75,0,50,0,0,,0,20
Airedale NHS Foundation Trust,RCF,40,20,20,50,0,50,100,100,75,75,75,75,75,25,75,0,100,100,0,100
Alder Hey Childrens NHS Foundation Trust,RBS,60,100,100,50,100,100,75,75,75,75,75,75,25,25,25,25,25,25,0,20
Ashford and St Peters Hospitals NHS Foundation Trust,RTK,100,100,60,50,100,50,100,75,75,50,25,75,50,50,25,50,25,0,0,40
"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,40,40,20,50,100,50,75,75,50,25,50,25,0,0,25,0,0,0,0,20
Barnsley Hospital NHS Foundation Trust,RFF,20,80,40,50,100,50,25,25,25,25,0,0,50,0,0,0,0,0,0,20
Barts Health NHS Trust,R1H,80,40,0,50,50,,75,75,75,50,50,50,50,25,75,50,75,75,0,40
Basildon and Thurrock University Hospitals NHS Foundation Trust,RDD,100,100,20,50,100,50,100,75,75,75,50,75,25,25,50,25,0,0,0,60
Bedford Hospital NHS Trust,RC1,60,80,60,50,100,50,75,75,75,50,50,50,25,50,50,0,0,0,25,80
Birmingham Women's and Children's NHS Foundation Trust,RLU,20,20,20,50,50,50,75,25,75,50,75,25,25,25,25,25,25,25,0,20
Blackpool Teaching Hospitals NHS Foundation Trust,RXL,40,40,40,100,100,100,100,100,100,50,75,50,75,25,50,25,75,50,0,40
Bolton NHS Foundation Trust,RMC,0,0,0,,,,25,0,25,,25,0,0,25,25,25,0,0,0,0
Bradford Teaching Hospitals NHS Foundation Trust,RAE,20,100,100,50,100,100,100,100,100,100,100,100,100,25,75,0,25,25,0,20
Brighton and Sussex University Hospitals NHS Trust,RXH,20,40,20,50,50,50,75,75,0,25,25,25,25,25,50,25,25,0,25,60
Buckinghamshire Healthcare NHS Trust,RXQ,100,20,20,0,0,0,75,75,75,50,50,50,75,0,25,0,75,0,0,60
Burton Hospitals NHS Foundation Trust,RJF,100,80,100,100,100,100,100,100,100,100,100,100,75,75,100,100,50,75,50,80
Calderdale and Huddersfield NHS Foundation Trust,RWY,100,100,100,100,100,100,100,100,75,100,75,100,25,25,75,25,50,25,0,100
Cambridge University Hospitals NHS Foundation Trust,RGT,100,100,100,100,100,100,100,100,100,100,100,100,75,25,50,25,25,25,100,80
Central Manchester University Hospitals NHS Foundation Trust,RW3,80,100,20,0,100,50,75,75,50,75,50,50,50,50,25,25,50,50,0,60
Chelsea and Westminster Hospital NHS Foundation Trust,RQM,80,40,60,50,100,50,75,100,50,75,75,25,25,25,50,75,25,75,25,80
Chesterfield Royal Hospital NHS Foundation Trust,RFS,40,20,40,50,50,50,75,75,50,25,75,0,75,50,25,0,50,0,0,20
Christie NHS Foundation Trust,RBV,100,60,100,50,50,100,100,100,100,75,75,100,25,0,100,50,25,25,0,100
