organisation_name,organisation_id,Remote/virtual clinical consultations and clinical advice are available to patients and service users.,Health and care professionals are able to contribute remotely to discussions about patient and service user care with colleagues outside your organisation.,Your organisation is able to remotely monitor patients or service users whose condition is at high risk of deterioration.,Remote/virtual delivery of treatment is available for low intensity interventions.,Patients and service users can use digital services to help manage their own condition at home.,You have clear governance and consent agreements around the use of remote and assistive care technologies.
Aintree University Hospital NHS Foundation Trust,REM,0,50,0,,0,0
Airedale NHS Foundation Trust,RCF,50,50,0,,0,100
Alder Hey Childrens NHS Foundation Trust,RBS,50,75,25,25,25,25
Ashford and St Peters Hospitals NHS Foundation Trust,RTK,50,75,0,,0,0
"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,25,25,0,,0,0
Barnsley Hospital NHS Foundation Trust,RFF,0,75,0,,0,75
Barts Health NHS Trust,R1H,25,25,0,,0,0
Basildon and Thurrock University Hospitals NHS Foundation Trust,RDD,25,75,50,,50,100
Bedford Hospital NHS Trust,RC1,0,100,0,,0,0
Birmingham Women's and Children's NHS Foundation Trust,RLU,25,75,50,25,25,50
Blackpool Teaching Hospitals NHS Foundation Trust,RXL,50,50,25,,25,100
Bolton NHS Foundation Trust,RMC,0,25,0,,0,0
Bradford Teaching Hospitals NHS Foundation Trust,RAE,50,50,0,,25,100
Brighton and Sussex University Hospitals NHS Trust,RXH,25,75,50,,25,50
Buckinghamshire Healthcare NHS Trust,RXQ,25,50,25,,25,75
Burton Hospitals NHS Foundation Trust,RJF,100,100,75,,25,25
Calderdale and Huddersfield NHS Foundation Trust,RWY,50,75,25,,0,50
Cambridge University Hospitals NHS Foundation Trust,RGT,100,100,50,,75,100
Central Manchester University Hospitals NHS Foundation Trust,RW3,25,50,0,,25,75
Chelsea and Westminster Hospital NHS Foundation Trust,RQM,75,100,25,,25,25
Chesterfield Royal Hospital NHS Foundation Trust,RFS,0,75,0,,0,100
Christie NHS Foundation Trust,RBV,100,100,75,,50,100
City Hospitals Sunderland NHS Foundation Trust,RLN,25,75,25,,50,50
Clatterbridge Cancer Centre NHS Foundation Trust,REN,50,100,75,,50,50
Colchester Hospital University NHS Foundation Trust,RDE,0,100,0,,0,
Countess Of Chester Hospital NHS Foundation Trust,RJR,75,75,25,,25,50
County Durham and Darlington NHS Foundation Trust,RXP,50,100,75,,75,100
Croydon Health Services NHS Trust,RJ6,0,75,50,,0,0
Dartford and Gravesham NHS Trust,RN7,75,75,75,,0,75
