organisation_name,organisation_id,What proportion of referrals received for non-urgent assessment are automatically integrated into digital workflows?,What proportion of referrals for urgent assessment are automatically integrated into digital clinical workflows?,What proportion handovers of care within your organisation is shared digitally when a patient or service user moves between services or departments?,Discharge summaries are routinely sent digitally to all other local healthcare providers.,New discharge summaries are created in a structured digital format.,Discharge summaries are created in a consistent format across the organisation.,The information held in patients' records is used to pre-populate discharge summaries and letters to avoid re-keying.,What proportion of discharge summaries are generated in real time and shared digitally with other relevant care providers as soon as completed?,"At inpatient and day case discharge, what proportion of discharge summaries are shared digitally with GPs?","At outpatient appointment, what proportion of letters are shared digitally with GPs?","At AE patient discharge, what proportion of discharge summaries are shared digitally with GPs?",What proportion of your discharge summaries for out of local area patients and service users are shared digitally with GPs?,What  proportion of referrals to tertiary care are completed digitally?
Aintree University Hospital NHS Foundation Trust,REM,100,80,80,100,50,75,100,100,100,0,100,100,0
Airedale NHS Foundation Trust,RCF,80,80,80,100,100,100,100,100,100,60,100,100,80
Alder Hey Childrens NHS Foundation Trust,RBS,100,100,20,75,100,100,100,100,100,100,100,100,0
Ashford and St Peters Hospitals NHS Foundation Trust,RTK,100,40,100,100,75,75,50,100,100,100,100,20,20
"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,40,0,20,75,75,75,25,0,60,100,100,80,0
Barnsley Hospital NHS Foundation Trust,RFF,20,20,20,75,75,75,75,,80,60,100,80,0
Barts Health NHS Trust,R1H,60,20,20,75,75,75,75,60,80,80,80,80,20
Basildon and Thurrock University Hospitals NHS Foundation Trust,RDD,100,80,80,100,75,25,75,100,100,100,0,20,100
Bedford Hospital NHS Trust,RC1,20,20,40,50,50,50,50,20,40,40,40,100,20
Birmingham Women's and Children's NHS Foundation Trust,RLU,100,100,60,75,75,25,75,100,80,100,100,60,40
Blackpool Teaching Hospitals NHS Foundation Trust,RXL,60,20,60,100,75,100,50,20,100,20,100,100,40
Bolton NHS Foundation Trust,RMC,100,100,20,75,100,75,75,80,100,100,100,80,0
Bradford Teaching Hospitals NHS Foundation Trust,RAE,80,80,100,25,100,100,100,100,0,0,0,0,
