organisation_name,organisation_id,"There is a Board-led digital programme(s), supported by effective operational IT delivery.",Projects and programmes follow standard project management methodologies to allocate roles and responsibilities.,Digital projects are underpinned by valid business cases and fully-engaged business owners.,"Following deployment, your organisation evaluates the benefits of digital projects using a consistent approach.",Your organisation adopts industry recognised principles outlined in best practice guidelines relating to digital services.,Clinical governance is embedded throughout the lifecycle of digital projects.
Aintree University Hospital NHS Foundation Trust,REM,100,75,75,75,100,75
Airedale NHS Foundation Trust,RCF,100,75,100,50,100,50
Alder Hey Childrens NHS Foundation Trust,RBS,100,100,100,100,75,100
Ashford and St Peters Hospitals NHS Foundation Trust,RTK,100,100,100,75,75,100
"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,75,75,75,25,75,50
Barnsley Hospital NHS Foundation Trust,RFF,100,75,75,75,25,50
Barts Health NHS Trust,R1H,50,75,75,25,50,75
Basildon and Thurrock University Hospitals NHS Foundation Trust,RDD,75,100,100,75,75,75
Bedford Hospital NHS Trust,RC1,100,100,75,75,75,100
Birmingham Women's and Children's NHS Foundation Trust,RLU,100,100,75,50,75,75
Blackpool Teaching Hospitals NHS Foundation Trust,RXL,100,100,75,75,100,100
Bolton NHS Foundation Trust,RMC,100,100,100,75,75,25
Bradford Teaching Hospitals NHS Foundation Trust,RAE,100,100,100,100,100,100
Brighton and Sussex University Hospitals NHS Trust,RXH,25,75,75,25,75,25
Buckinghamshire Healthcare NHS Trust,RXQ,25,75,50,0,50,75
Burton Hospitals NHS Foundation Trust,RJF,25,75,75,75,75,50
Calderdale and Huddersfield NHS Foundation Trust,RWY,100,100,100,100,100,100
Cambridge University Hospitals NHS Foundation Trust,RGT,100,100,100,100,100,100
Central Manchester University Hospitals NHS Foundation Trust,RW3,100,100,75,50,75,75
Chelsea and Westminster Hospital NHS Foundation Trust,RQM,100,100,100,100,100,100
Chesterfield Royal Hospital NHS Foundation Trust,RFS,25,75,50,50,50,50
Christie NHS Foundation Trust,RBV,100,100,100,50,50,100
City Hospitals Sunderland NHS Foundation Trust,RLN,100,100,100,100,75,100
Clatterbridge Cancer Centre NHS Foundation Trust,REN,75,75,75,75,75,75
Colchester Hospital University NHS Foundation Trust,RDE,100,100,100,100,100,100
Countess Of Chester Hospital NHS Foundation Trust,RJR,75,75,75,50,50,75
