organisation_name,organisation_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,116,117,118,119,121,122,123,124,125,126,127,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161
Aintree Universitq Hospital NHS Foundation Trust,REM,100,100,100,75,100,100,100,100,100,100,100,100,75,100,75,75,75,75,100,75,75,75,100,75,67,75,100,75,75,75,100,100,100,50,50,50,75,75,100,50,75,75,75,0,50,0,0,,0,20,,100,80,80,100,50,75,100,100,100,0,100,100,0,80,100,100,60,100,75,100,25,60,100,100,100,100,100,75,75,25,100,75,100,100,40,75,25,75,75,50,75,100,75,25,50,75,75,25,75,100,,50,50,75,50,0,0,0,0,100,100,0,0,50,0,0,0,100,100,0,100,0,75,50,75,75,75,50,100,75,75,,,85,0,0,75,75,50,100,100,75,75,100,100,100,100,100,100,100,100,100,100,60
Airedale NHS Foundation Trust,RCF,100,75,100,100,100,100,100,100,100,100,75,75,50,100,75,75,75,100,100,75,100,50,100,50,71,100,100,25,100,100,40,20,20,50,0,50,100,100,75,75,75,75,75,25,75,0,100,100,0,100,100,80,80,80,100,100,100,100,100,100,60,100,100,80,40,100,20,20,50,100,75,0,0,50,75,100,100,100,100,75,50,100,75,100,100,0,,,75,100,0,100,100,25,0,25,75,50,0,25,100,,100,100,0,100,75,75,75,75,50,75,50,50,50,0,0,100,100,100,50,75,0,50,,75,75,50,50,75,75,75,75,25,100,0,,75,100,50,75,75,75,75,50,100,75,100,75,75,75,100,75,75,100
Alder Heq Childrens NHS Foundation Trust,RBS,100,100,100,100,100,100,100,100,100,100,100,75,75,100,100,75,75,100,100,100,100,100,75,100,83,100,75,75,75,75,60,100,100,50,100,100,75,75,75,75,75,75,25,25,25,25,25,25,0,20,80,100,100,20,75,100,100,100,100,100,100,100,100,0,80,100,100,100,100,100,75,100,0,100,100,100,100,100,100,100,100,100,25,80,100,80,25,25,25,75,75,75,75,75,0,75,100,25,25,25,,60,75,75,100,25,25,50,75,75,75,75,75,50,75,25,25,25,25,75,25,25,25,75,75,100,75,75,75,75,75,75,75,25,100,50,75,75,75,50,100,100,75,75,75,75,75,75,100,100,100,75,75,75,60
Ashford and St Peters Hospitals NHS Foundation Trust,RTK,100,100,100,100,100,100,100,100,100,100,100,100,75,100,75,100,100,75,100,100,100,75,75,100,85,100,100,75,100,100,100,100,60,50,100,50,100,75,75,50,25,75,50,50,25,50,25,0,0,40,,100,40,100,100,75,75,50,100,100,100,100,20,20,80,80,80,80,50,50,50,0,0,25,25,100,100,100,75,25,0,100,25,20,20,20,0,25,25,25,25,25,25,75,0,25,100,0,0,0,100,0,25,75,100,100,75,0,25,0,75,75,25,50,75,0,0,0,100,100,0,100,50,75,75,100,100,75,75,100,75,75,75,50,100,50,0,75,75,25,100,100,100,100,75,75,100,100,100,75,100,75,75,75,0
"Barking, Havering and Redbridge Universitq Hospitals NHS Trust",RF4,100,25,75,75,50,100,100,50,25,50,75,50,0,50,25,50,0,25,75,75,75,25,75,50,66,75,75,25,75,50,40,40,20,50,100,50,75,75,50,25,50,25,0,0,25,0,0,0,0,20,,40,0,20,75,75,75,25,0,60,100,100,80,0,20,20,0,0,100,100,75,50,100,0,50,100,100,60,75,0,0,75,25,0,80,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,100,100,25,75,75,0,0,0,0,0,0,75,0,25,25,0,0,0,75,25,0,100,0,100,,100,100,100,100,100,100,100,100,,85,0,,25,75,25,100,100,75,100,75,100,100,100,75,75,100,75,75,,100
Barnsleq Hospital NHS Foundation Trust,RFF,75,75,100,100,100,100,100,100,100,75,100,75,50,100,100,75,75,25,100,75,75,75,25,50,73,100,75,75,100,75,20,80,40,50,100,50,25,25,25,25,0,0,50,0,0,0,0,0,0,20,,20,20,20,75,75,75,75,,80,60,100,80,0,,100,100,,75,25,75,25,,50,75,100,100,100,50,75,50,75,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,50,75,0,0,0,,0,0,0,0,0,0,75,0,0,75,75,75,0,100,0,100,25,100,75,75,100,75,100,100,100,75,100,0,0,75,75,75,100,100,75,100,25,75,75,50,75,100,100,25,50,0,40
Barts Health NHS Trust,R1H,50,,75,50,75,75,100,75,100,50,75,50,50,25,25,25,50,0,50,75,75,25,50,75,77,75,75,75,75,50,80,40,0,50,50,,75,75,75,50,50,50,50,25,75,50,75,75,0,40,80,60,20,20,75,75,75,75,60,80,80,80,80,20,40,100,100,40,100,75,75,75,0,75,75,100,100,80,100,75,50,100,25,0,20,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,100,100,25,75,25,75,0,75,25,25,50,75,25,25,25,0,0,0,50,25,50,100,25,75,0,75,50,50,50,75,25,75,75,50,85,75,0,100,0,0,50,25,25,25,50,50,25,75,50,25,25,50,25,50,80
Basildon and Thurrock Universitq Hospitals NHS Foundation Trust,RDD,75,75,100,100,100,75,100,100,100,100,100,75,100,100,50,75,75,100,75,100,100,75,75,75,71,100,100,100,100,75,100,100,20,50,100,50,100,75,75,75,50,75,25,25,50,25,0,0,0,60,,100,80,80,100,75,25,75,100,100,100,0,20,100,20,100,100,100,100,100,100,100,100,75,75,100,100,100,100,100,100,100,25,0,100,0,,,,,50,100,,,,50,100,50,,,100,0,75,100,100,25,25,50,50,50,75,50,50,25,75,50,50,100,75,100,100,100,100,100,100,100,75,75,100,100,100,100,75,50,85,50,25,75,100,100,100,100,75,75,75,100,100,100,100,100,100,75,100,75,100
Bedford Hospital NHS Trust,RC1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,100,75,100,100,100,75,75,75,100,69,100,100,75,100,100,60,80,60,50,100,50,75,75,75,50,50,50,25,50,50,0,0,0,25,80,,20,20,40,50,50,50,50,20,40,40,40,100,20,20,80,20,0,50,75,75,75,40,25,75,100,100,20,25,75,25,75,75,100,100,20,100,25,50,75,75,75,100,100,25,75,100,100,75,50,100,0,25,50,0,25,100,25,0,25,75,50,50,0,100,0,0,0,100,50,50,100,75,,75,75,50,100,100,100,50,50,100,25,71,25,25,50,50,75,,,,,,,,,,,,,,,
